domain	intent	pattern	bio
Airconditioner	TurnOff	wyłącz klimatyzator	o b-av_alias
Airconditioner	TurnOff	wyłącz klimatyzację	o b-av_alias
Airconditioner	TurnOff	wyłącz klimę	o b-av_alias
Airconditioner	TurnOff	wyłącz system chłodzenia	o b-av_alias i-av_alias
Airconditioner	TurnOff	wyłącz klimatyzator	o b-av_alias
Airconditioner	TurnOff	wyłącz klimatyzację	o b-av_alias
Airconditioner	TurnOn	włącz klimę	o b-av_alias
Airconditioner	TurnOn	włącz system chłodzenia	o b-av_alias i-av_alias
Airconditioner	TurnOn	włącz klimatyzator	o b-av_alias
Airconditioner	TurnOn	włącz klimatyzację	o b-av_alias
Airconditioner	TurnOn	włącz klimę	o b-av_alias
Airconditioner	TurnOn	włącz system chłodzenia	o b-av_alias i-av_alias
Airconditioner	SetTemperatureToValue	ustaw temperaturę na moim termostacie na 22 stopnie	o o o o o o b-value i-value
Airconditioner	SetTemperatureToValue	ustaw temperaturę na 23 stopnie na moim termostacie	o o o b-value i-value o o o
Airconditioner	SetTemperatureToValueOnDevice	ustaw temperaturę na moim termostacie kuchnii na 25 stopnie	o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureOnDevice	zmień temperaturę na moim termostacie przedpokoju	o o o o o b-device_name
Airconditioner	GetTemperature	jaką mam tutaj temperaturę według mojego klimatyzator?	o o o o o o b-av_alias
Airconditioner	GetTemperature	jaką mamy tutaj temperaturę według mojego klimatyzację?	o o o o o o b-av_alias
Airconditioner	GetTemperatureFromDevice	sprawdź temperaturę czujnika temperatury pokojowej łazience	o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	sprawdź, co mówi czujnik temperatury domowej sypialnii	o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	sprawdź, co mówi czujnik temperatury domowej salonie	o o o o o o b-device_name
Airconditioner	GetTemperatureFromDevice	co mówi czujnik temperatury wewnętrznej kuchnii?	o o o o o b-device_name
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie czwartek	o o o o o b-date
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie środę 17	o o o o o b-date i-date
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie wtorek 14	o o o o o b-date i-date
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie piątek	o o o o o b-date
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie ten czwartek	o o o o o b-date i-date
Calendar	CheckCalendarOnDate	co jest w moim harmonogramie poniedziałek 11	o o o o o b-date i-date
Calendar	AddEventWithName	dodaj wydarzenie o nazwie 1on1	o o o o b-event_name
Calendar	AddEventWithName	dodaj wydarzenie o nazwie fryzjer	o o o o b-event_name
Calendar	AddEventWithName	dodaj wydarzenie o nazwie wyjście z anią	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	dodaj wydarzenie o nazwie urodziny magdy	o o o o b-event_name i-event_name
Calendar	AddEventWithName	dodaj wydarzenie o nazwie urodziny taty do kalendarza	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	dodaj wydarzenie o nazwie wyjście z kubą do kalendarza	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	dodaj wydarzenie o nazwie kolacja z eweliną do kalendarza	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	dodaj wydarzenie o nazwie kolacja z andrzejem do kalendarza	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie perkusja w dniu czwartek	o o o o b-event_name o o b-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie strzyżenie męskie w dniu środę 17	o o o o b-event_name i-event_name o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie walentynki w dniu wtorek 14	o o o o b-event_name o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie dzień matki w dniu piątek	o o o o b-event_name i-event_name o o b-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie dzień ojca w dniu ten czwartek	o o o o b-event_name i-event_name o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie wakacje do kalendarza w dniu poniedziałek 11	o o o o b-event_name o o o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie wstęp do filozofii do kalendarza w dniu następny poniedziałek	o o o o b-event_name i-event_name i-event_name o o o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie off festiwal do kalendarza w dniu wtorek 15	o o o o b-event_name i-event_name o o o o b-event_date i-event_date
Calendar	AddEventOnDateWithDate	dodaj wydarzenie o nazwie prezentacja do kalendarza w dniu środę	o o o o b-event_name o o o o b-event_date
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji domu	o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji pracy	o o o o o o o o o o o o b-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji domu magdy	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji sali 201	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji restauracji aioli	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji galerii narodowej	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji sali 103	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji domu ani	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji klubie progresja	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji teatrze dramatycznym	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji sali 809	o o o o o o o o o o o o b-location i-location
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji sali orion	o o o o o o o o o o o o b-location i-location
