Slack__	OpenSlack__	open slack 	 o o
Slack__	CheckLastMessages__	check my last slack messages 	 o o o o o
Slack__	CheckLastMessages__	check my slack channel history 	 o o o o o
Slack__	CheckLastMessages__	get my last slack messages 	 o o o o o
Slack__	CheckLastMessages__	get my slack channel history 	 o o o o o
Slack__	CheckUserStatus__	the presence of jack on slack 	 o o o b-username o o
Slack__	CheckUserStatus__	whether andrew is active on slack 	 o b-username o o o o
Slack__	CheckUserStatus__	whether marry is away on slack 	 o b-username o o o o
Slack__	CheckMessagesFromUser__	check recent messages from mike in slack 	 o o o o b-sender o o
Slack__	CheckMessagesFromUser__	check messages i received on slack from barry 	 o o o o o o o b-sender
Slack__	CheckMessagesFromUser__	get recent messages from xorgan in slack 	 o o o o b-sender o o
Slack__	CheckMessagesFromUser__	get messages i received on slack from mike 	 o o o o o o o b-sender
Slack__	CheckMessagesInChannel__	check recent slack messages in work 	 o o o o o b-channel
Slack__	CheckMessagesInChannel__	check messages i received on slack in party 	 o o o o o o o b-channel
Slack__	CheckMessagesInChannel__	check slack messages in river i received in the last hour 	 o o o o b-channel o o o o o o
Slack__	CheckMessagesInChannel__	get recent slack messages in my fellas 	 o o o o o b-channel i-channel
Slack__	CheckMessagesInChannel__	get messages i received on slack in jogging 	 o o o o o o o b-channel
Slack__	CheckMessagesInChannel__	get slack messages in class for physics i received in the last hour 	 o o o o b-channel i-channel i-channel o o o o o o
Slack__	SendMessageToChannel__	post how are things to work on slack 	 o b-message i-message i-message o b-channel o o
Slack__	SendMessageToChannel__	send we need to talk to party on slack 	 o b-message i-message i-message i-message o b-channel o o
Slack__	SendMessageToChannel__	upload ok to river on slack 	 o b-message o b-channel o o
Slack__	SendMessageToChannel__	post a message on slack to my fellas saying brb 	 o o o o o o b-channel i-channel o b-message
Slack__	SendMessageToChannel__	send a message on slack to jogging saying how are things 	 o o o o o o b-channel o b-message i-message i-message
Slack__	SendMessageToChannel__	upload a message on slack to class for physics saying we need to talk 	 o o o o o o b-channel i-channel i-channel o b-message i-message i-message i-message
Slack__	SendMessageToChannel__	message work on slack saying ok 	 o b-channel o o o b-message
Slack__	SendMessageToChannel__	let slack channel party know that brb 	 o o o b-channel o o b-message
Slack__	SetPurposeOnChannel__	set the purpose for channel river to decisions on slack 	 o o o o o b-channel o b-purpose o o
Slack__	SetPurposeOnChannel__	set the purpose for slack channel my fellas to bug fix 	 o o o o o o b-channel i-channel o b-purpose i-purpose
Slack__	SetTopicInChannel__	set the topic for channel jogging to mona birthday on slack 	 o o o o o b-channel o b-topic i-topic o o
Slack__	SetTopicInChannel__	set the topic of slack channel class for physics to party 	 o o o o o o b-channel i-channel i-channel o b-topic
Slack__	SetStatusAway__	set me as away on slack 	 o o o o o o
Slack__	SetStatusAway__	set me as not away on slack 	 o o o o o o o
Slack__	SetStatusAway__	mark me as away on slack 	 o o o o o o
Slack__	SetStatusAway__	mark me as not away on slack 	 o o o o o o o
Slack__	SendMessage__	post on slack 	 o o o
Slack__	SendMessage__	post a message on slack 	 o o o o o
Slack__	SendMessage__	send on slack 	 o o o
Slack__	SendMessage__	send a message on slack 	 o o o o o
Slack__	SendMessage__	upload on slack 	 o o o
Slack__	SendMessage__	upload a message on slack 	 o o o o o
Slack__	SendMessageToChannel__	post a picture on slack to work 	 o o o o o o b-channel
Slack__	SendMessageToChannel__	send a picture on slack to party 	 o o o o o o b-channel
Slack__	SendMessageToChannel__	upload a picture on slack to river 	 o o o o o o b-channel
Slack__	SendMessageToChannel__	upload a picture to slack channel my fellas 	 o o o o o o b-channel i-channel
Slack__	SendMessageToChannel__	send something to slack channel jogging 	 o o o o o b-channel
Slack__	SendMessageToChannel__	post on slack to class for physics 	 o o o o b-channel i-channel i-channel
Slack__	SendMessageToChannel__	post on slack channel work 	 o o o o b-channel
Slack__	SendPictureToChannelWithCaption__	post a picture on slack to party with caption funny 	 o o o o o o b-channel o o b-caption
Slack__	SendPictureToChannelWithCaption__	post a picture to slack channel river with caption 24 hours until exam 	 o o o o o o b-channel o o b-caption i-caption i-caption i-caption
Slack__	SendPictureToChannelWithCaption__	send a picture on slack to my fellas with caption funny 	 o o o o o o b-channel i-channel o o b-caption
Slack__	SendPictureToChannelWithCaption__	send a picture to slack channel jogging with caption 24 hours until exam 	 o o o o o o b-channel o o b-caption i-caption i-caption i-caption
Slack__	SendPictureToChannelWithCaption__	upload a picture on slack to class for physics with caption funny 	 o o o o o o b-channel i-channel i-channel o o b-caption
Slack__	SendPictureToChannelWithCaption__	upload a picture to slack channel work with caption 24 hours until exam 	 o o o o o o b-channel o o b-caption i-caption i-caption i-caption
Slack__	SendPictureWithUrlToChannel__	post www.tinyurl.com/vmkgtf9 to party on slack 	 o b-picture_url o b-channel o o
Slack__	SendPictureWithUrlToChannel__	send www.tinyurl.com/vmkgtf9 to river on slack 	 o b-picture_url o b-channel o o
Slack__	SendPictureWithUrlToChannel__	upload www.tinyurl.com/vmkgtf9 to my fellas on slack 	 o b-picture_url o b-channel i-channel o o
Slack__	SendPictureWithUrlToChannel__	post www.tinyurl.com/vmkgtf9 to slack channel jogging 	 o b-picture_url o o o b-channel
