domain	intent	parallel	pattern
Fitbit	ShowSteps	-	my steps from fitbit
Fitbit	ShowSteps	-	the number of steps from fitbit
Fitbit	ShowSteps	-	the count of steps from fitbit
Fitbit	ShowSteps	-	the step count from fitbit
Fitbit	ShowSteps	-	the number of steps i took
Fitbit	ShowSteps	-	my fitbit step count
Fitbit	ShowSteps	-	the fitbit pedometer
Fitbit	ShowSteps	-	the fitbit step counter
Fitbit	ShowSteps	-	the steps i have taken
Fitbit	ShowSteps	-	get my steps from fitbit
Fitbit	ShowSteps	-	get the number of steps from fitbit
Fitbit	ShowSteps	-	get the count of steps from fitbit
Fitbit	ShowSteps	-	get the step count from fitbit
Fitbit	ShowSteps	-	get the number of steps i took
Fitbit	ShowSteps	-	get my fitbit step count
Fitbit	ShowSteps	-	get the fitbit pedometer
Fitbit	ShowSteps	-	get the fitbit step counter
Fitbit	ShowSteps	-	get the steps i have taken
Fitbit	ShowSteps	-	find my steps from fitbit
Fitbit	ShowSteps	-	find the number of steps from fitbit
Fitbit	ShowSteps	-	find the count of steps from fitbit
Fitbit	ShowSteps	-	find the step count from fitbit
Fitbit	ShowSteps	-	find the number of steps i took
Fitbit	ShowSteps	-	find my fitbit step count
Fitbit	ShowSteps	-	find the fitbit pedometer
Fitbit	ShowSteps	-	find the fitbit step counter
Fitbit	ShowSteps	-	find the steps i have taken
Fitbit	ShowSteps	-	show my steps from fitbit
Fitbit	ShowSteps	-	show the number of steps from fitbit
Fitbit	ShowSteps	-	show the count of steps from fitbit
Fitbit	ShowSteps	-	show the step count from fitbit
Fitbit	ShowSteps	-	show the number of steps i took
Fitbit	ShowSteps	-	show my fitbit step count
Fitbit	ShowSteps	-	show the fitbit pedometer
Fitbit	ShowSteps	-	show the fitbit step counter
Fitbit	ShowSteps	-	show the steps i have taken
Fitbit	ShowStepsOnDate	-	my fitbit steps on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	the number of steps i took on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	the number of steps from fitbit on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	my fitbit step count on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	the fitbit pedometer on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	the fitbit step counter on FITBIT.SLOT.DATE
