domain	intent	parallel	pattern
Contacts	OpenContacts	True	abre mis contactos
Contacts	OpenContacts	False	ábreme mis contactos
Contacts	OpenContacts	True	muestra mis contactos
Contacts	OpenContacts	False	muéstrame mis contactos
Contacts	OpenMyContact	True	abre la información de mi contacto
Contacts	OpenMyContact	False	ábreme la información de mi contacto
Contacts	OpenMyContact	True	muestra la información de mi contacto
Contacts	OpenMyContact	False	muéstrame la información de mi contacto
Contacts	ShowContactWithEmail	False	abre mis contactos con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	abre mis contactos con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	True	abre mis contactos con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	abre mis contactos de google con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	abre mis contactos de google con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	True	abre mis contactos de google con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos de google con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos de google con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	ábreme mis contactos de google con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muestra mis contactos con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muestra mis contactos con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	True	muestra mis contactos con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muestra mis contactos de google con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muestra mis contactos de google con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muestra mis contactos de google con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos de google con el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos de google con el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithEmail	False	muéstrame mis contactos de google con el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumber	False	abre mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	True	abre mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	False	ábreme mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	False	ábreme mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	False	muestra mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	True	muestra mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	False	muéstrame mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNumber	False	muéstrame mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithName	True	abre mis contactos con el nombre CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	abre mis contactos con el nombre de CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	ábreme mis contactos con el nombre CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	ábreme mis contactos con el nombre de CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	True	muestra mis contactos con el nombre CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	muestra mis contactos con el nombre de CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	muéstrame mis contactos con el nombre CONTACTS.SLOT.NAME
Contacts	ShowContactWithName	False	muéstrame mis contactos con el nombre de CONTACTS.SLOT.NAME
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	abre mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	ábreme mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muestra mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el email CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNumberAndWithEmail	False	muéstrame mis contactos con el número de teléfono CONTACTS.SLOT.PHONE_NUMBER y el correo electrónico CONTACTS.SLOT.EMAIL
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con un número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con un número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	True	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME con el número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y pónle el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y pónle el número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y añade el número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y añade el número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y añade el número de CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto y llámalo CONTACTS.SLOT.NAME y añade el número de CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto usando el nombre CONTACTS.SLOT.NAME con número CONTACTS.SLOT.PHONE_NUMBER
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto usando el nombre CONTACTS.SLOT.NAME con número CONTACTS.SLOT.PHONE_NUMBER como CONTACTS.SLOT.PHONE_TYPE
Contacts	ShowContactWithNameAndWithNumberAndWithType	False	crea un nuevo contacto usando el nombre CONTACTS.SLOT.NAME con un número CONTACTS.SLOT.PHONE_NUMBER
