domain	intent	parallel	pattern
News	ShowNews	-	NEWS.SLOT.PORTAL
News	ShowNews	-	abre NEWS.SLOT.PORTAL
News	ShowNews	-	lee NEWS.SLOT.PORTAL
News	ShowNews	-	muestra noticias de NEWS.SLOT.PORTAL
News	ShowNews	-	muestra las noticias de NEWS.SLOT.PORTAL
News	ShowNews	-	muéstrame noticias de NEWS.SLOT.PORTAL
News	ShowNews	-	muéstrame las noticias de NEWS.SLOT.PORTAL
News	ShowNews	-	noticias en NEWS.SLOT.PORTAL
News	ShowNews	-	noticias de NEWS.SLOT.PORTAL
News	ShowNews	-	noticias recientes en NEWS.SLOT.PORTAL
News	ShowNews	-	noticias recientes de NEWS.SLOT.PORTAL
News	ShowNews	-	noticias más recientes en NEWS.SLOT.PORTAL
News	ShowNews	-	noticias más recientes de NEWS.SLOT.PORTAL
News	ShowNewsFromSection	-	la sección NEWS.SLOT.SECTION de NEWS.SLOT.PORTAL
News	ShowNewsFromSection	-	la sección de NEWS.SLOT.SECTION de NEWS.SLOT.PORTAL
News	NotifyWhenPortalUpdates	-	notifícame cuando NEWS.SLOT.PORTAL actualice las noticias
News	NotifyWhenPortalUpdates	-	notifícame cuando NEWS.SLOT.PORTAL actualice la página principal
News	NotifyWhenPortalUpdatesInSection	-	notifícame cuando la sección NEWS.SLOT.SECTION de NEWS.SLOT.PORTAL publique un nuevo artículo
