domain	intent	parallel	pattern
Speaker	TurnOnOrOff	-	ayúdame a activar mi altavoz
Speaker	TurnOnOrOff	-	ayúdame a activar el altavoz
Speaker	TurnOnOrOff	-	ayúdame a desactivar mi altavoz
Speaker	TurnOnOrOff	-	ayúdame a desactivar el altavoz
Speaker	TurnOnOrOff	-	ayúdame a encender mi altavoz
Speaker	TurnOnOrOff	-	ayúdame a encender el altavoz
Speaker	TurnOnOrOff	-	ayúdame a apagar mi altavoz
Speaker	TurnOnOrOff	-	ayúdame a apagar el altavoz
Speaker	TurnOnOrOff	-	activa mi altavoz
Speaker	TurnOnOrOff	-	activa el altavoz
Speaker	TurnOnOrOff	-	actívame mi altavoz
Speaker	TurnOnOrOff	-	actívame el altavoz
Speaker	TurnOnOrOff	-	desactiva mi altavoz
Speaker	TurnOnOrOff	-	desactiva el altavoz
Speaker	TurnOnOrOff	-	desactívame mi altavoz
Speaker	TurnOnOrOff	-	desactívame el altavoz
Speaker	TurnOnOrOff	-	enciende mi altavoz
Speaker	TurnOnOrOff	-	enciende el altavoz
Speaker	TurnOnOrOff	-	enciéndeme mi altavoz
Speaker	TurnOnOrOff	-	enciéndeme el altavoz
Speaker	TurnOnOrOff	-	apaga mi altavoz
Speaker	TurnOnOrOff	-	apaga el altavoz
Speaker	TurnOnOrOff	-	apágame mi altavoz
Speaker	TurnOnOrOff	-	apágame el altavoz
Speaker	IncreaseVolume	-	sube el volumen del altavoz
Speaker	IncreaseVolume	-	sube el volumen de altavoz
Speaker	IncreaseVolume	-	sube el volumen de mi altavoz
Speaker	IncreaseVolume	-	aumenta en sonido de altavoz
Speaker	IncreaseVolume	-	aumenta en sonido de mi altavoz
Speaker	IncreaseVolumeByPercent	-	sube el volumen del altavoz por SPEAKER.SLOT.PERCENT
Speaker	IncreaseVolumeByPercent	-	sube el volumen del altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	IncreaseVolumeByPercent	-	sube el volumen de altavoz por SPEAKER.SLOT.PERCENT
Speaker	IncreaseVolumeByPercent	-	sube el volumen de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	IncreaseVolumeByPercent	-	sube el volumen de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	IncreaseVolumeByPercent	-	sube el volumen de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	IncreaseVolumeByPercent	-	aumenta en sonido de altavoz por SPEAKER.SLOT.PERCENT
Speaker	IncreaseVolumeByPercent	-	aumenta en sonido de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	IncreaseVolumeByPercent	-	aumenta en sonido de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	IncreaseVolumeByPercent	-	aumenta en sonido de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolume	-	reduce volumen de altavoz
Speaker	DecreaseVolume	-	reduce volumen de mi altavoz
Speaker	DecreaseVolume	-	reduce el volumen de altavoz
Speaker	DecreaseVolume	-	reduce el volumen de mi altavoz
Speaker	DecreaseVolume	-	disminuye volumen de altavoz
Speaker	DecreaseVolume	-	disminuye volumen de mi altavoz
Speaker	DecreaseVolume	-	disminuye el volumen de altavoz
Speaker	DecreaseVolume	-	disminuye el volumen de mi altavoz
Speaker	DecreaseVolumeByPercent	-	reduce volumen de altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	reduce volumen de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	reduce volumen de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	reduce volumen de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	reduce el volumen de altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	reduce el volumen de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	reduce el volumen de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	reduce el volumen de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	disminuye volumen de altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	disminuye volumen de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	disminuye volumen de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	disminuye volumen de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	disminuye el volumen de altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	disminuye el volumen de altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	DecreaseVolumeByPercent	-	disminuye el volumen de mi altavoz por SPEAKER.SLOT.PERCENT
Speaker	DecreaseVolumeByPercent	-	disminuye el volumen de mi altavoz por SPEAKER.SLOT.PERCENT por ciento
Speaker	MuteOn	-	silencia altavoz
Speaker	MuteOn	-	silencia mi altavoz
Speaker	MuteOn	-	silencia el altavoz
Speaker	MuteOn	-	pon en silencio altavoz
Speaker	MuteOn	-	pon en silencio mi altavoz
Speaker	MuteOn	-	pon en silencio el altavoz
Speaker	MuteOff	-	activa el sonido de altavoz
Speaker	MuteOff	-	activa el sonido de mi altavoz
Speaker	MuteOff	-	activa el sonido del altavoz
