domain	intent	parallel	pattern
Spotify	OpenSpotify	-	abre spotify
Spotify	OpenSpotify	-	abre spotify y reproduce alguna música
Spotify	OpenSpotify	-	abre spotify para reproducir alguna música
Spotify	OpenSpotify	-	usa spotify
Spotify	OpenSpotify	-	usa spotify y reproduce alguna música
Spotify	OpenSpotify	-	usa spotify para reproducir alguna música
Spotify	OpenSpotify	-	reproduce música en spotify
Spotify	OpenSpotify	-	reproduce alguna música en spotify
Spotify	OpenSpotify	-	reproduce algo en spotify
Spotify	PlaySong	-	reproduce SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reproduce SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reproduce SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	reproduce la canción SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reproduce la canción SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reproduce la canción SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	reproduce la pista SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reproduce la pista SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reproduce la pista SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	pon SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	pon SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	pon SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	pon la canción SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	pon la canción SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	pon la canción SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	pon la pista SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	pon la pista SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	pon la pista SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	reprodúceme SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reprodúceme SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reprodúceme SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	reprodúceme la canción SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reprodúceme la canción SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reprodúceme la canción SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	reprodúceme la pista SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	reprodúceme la pista SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	reprodúceme la pista SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	ponme SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	ponme SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	ponme SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	ponme la canción SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	ponme la canción SPOTIFY.SLOT.SONG en spotify
Spotify	PlaySong	-	ponme la canción SPOTIFY.SLOT.SONG en el spotify
Spotify	PlaySong	-	ponme la pista SPOTIFY.SLOT.SONG
