domain	intent	parallel	pattern
Spotify	OpenSpotify	-	otwórz spotify
Spotify	OpenSpotify	-	otwórz spotify i zagraj
Spotify	OpenSpotify	-	otwórz spotify i zagraj coś
Spotify	OpenSpotify	-	otwórz spotify i zagraj mi
Spotify	OpenSpotify	-	otwórz spotify i zagraj mi coś
Spotify	OpenSpotify	-	otwórz spotify włącz muzykę
Spotify	OpenSpotify	-	otwórz spotify włącz jakąś muzykę
Spotify	OpenSpotify	-	otwórz spotify puść muzykę
Spotify	OpenSpotify	-	użyj spotify
Spotify	OpenSpotify	-	użyj spotify i zagraj
Spotify	OpenSpotify	-	użyj spotify i zagraj coś
Spotify	OpenSpotify	-	użyj spotify i zagraj mi
Spotify	OpenSpotify	-	użyj spotify i zagraj mi coś
Spotify	OpenSpotify	-	użyj spotify włącz muzykę
Spotify	OpenSpotify	-	użyj spotify włącz jakąś muzykę
Spotify	OpenSpotify	-	użyj spotify puść muzykę
Spotify	PlaySong	-	odtwarzaj SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	odtwarzaj SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	odtwarzaj piosenkę SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	odtwarzaj piosenkę SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	odtwarzaj utwór SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	odtwarzaj utwór SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	odtwarzaj kawałek SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	odtwarzaj kawałek SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	puść SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	puść SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	puść piosenkę SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	puść piosenkę SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	puść utwór SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	puść utwór SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	puść kawałek SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	puść kawałek SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	włącz SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	włącz SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	włącz piosenkę SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	włącz piosenkę SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	włącz utwór SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	włącz utwór SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	włącz kawałek SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	włącz kawałek SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	graj SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	graj SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	graj piosenkę SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	graj piosenkę SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	graj utwór SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	graj utwór SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	graj kawałek SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	graj kawałek SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	zagraj SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	zagraj SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	zagraj piosenkę SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	zagraj piosenkę SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	zagraj utwór SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	zagraj utwór SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySong	-	zagraj kawałek SPOTIFY.SLOT.SONG
Spotify	PlaySong	-	zagraj kawałek SPOTIFY.SLOT.SONG na spotify
Spotify	PlaySongByArtist	-	odtwarzaj SPOTIFY.SLOT.SONG SPOTIFY.SLOT.ARTIST
