domain	intent	utterance	bio
Spotify	OpenSpotify	otwórz spotify	o o
Spotify	OpenSpotify	otwórz spotify i zagraj	o o o o
Spotify	OpenSpotify	otwórz spotify i zagraj coś	o o o o o
Spotify	OpenSpotify	otwórz spotify i zagraj mi	o o o o o
Spotify	OpenSpotify	otwórz spotify i zagraj mi coś	o o o o o o
Spotify	OpenSpotify	otwórz spotify włącz muzykę	o o o o
Spotify	OpenSpotify	otwórz spotify włącz jakąś muzykę	o o o o o
Spotify	OpenSpotify	użyj spotify	o o
Spotify	OpenSpotify	użyj spotify i zagraj	o o o o
Spotify	OpenSpotify	użyj spotify i zagraj coś	o o o o o
Spotify	OpenSpotify	użyj spotify i zagraj mi	o o o o o
Spotify	OpenSpotify	użyj spotify i zagraj mi coś	o o o o o o
Spotify	OpenSpotify	użyj spotify włącz muzykę	o o o o
Spotify	OpenSpotify	użyj spotify włącz jakąś muzykę	o o o o o
Spotify	PlaySong	odtwarzaj flow na spotify	o b-song o o
Spotify	PlaySong	odtwarzaj piosenkę paper boy	o o b-song i-song
Spotify	PlaySong	odtwarzaj piosenkę 74 na spotify	o o b-song o o
Spotify	PlaySong	odtwarzaj utwór neony	o o b-song
Spotify	PlaySong	odtwarzaj utwór touch that space na spotify	o o b-song i-song i-song o o
Spotify	PlaySong	odtwarzaj kawałek panie inżynierze	o o b-song i-song
Spotify	PlaySong	odtwarzaj kawałek memory loop na spotify	o o b-song i-song o o
Spotify	PlaySong	puść zew	o b-song
Spotify	PlaySong	puść bad liar na spotify	o b-song i-song o o
Spotify	PlaySong	puść piosenkę norman fucking rockwell	o o b-song i-song i-song
Spotify	PlaySong	puść utwór list of boys	o o b-song i-song i-song
Spotify	PlaySong	puść utwór dom stamina na spotify	o o b-song i-song o o
Spotify	PlaySong	puść kawałek moments of flow	o o b-song i-song i-song
Spotify	PlaySong	puść kawałek good day na spotify	o o b-song i-song o o
Spotify	PlaySong	włącz the crossing guard	o b-song i-song i-song
Spotify	PlaySong	włącz of the past na spotify	o b-song i-song i-song o o
Spotify	PlaySong	włącz piosenkę aż po horyzont	o o b-song i-song
Spotify	PlaySong	włącz piosenkę the fool you need na spotify	o o b-song i-song i-song i-song o o
Spotify	PlaySong	włącz utwór blow to the head	o o b-song i-song i-song i-song
Spotify	PlaySong	włącz utwór twist na spotify	o o b-song o o
Spotify	PlaySong	włącz kawałek schematy	o o b-song
Spotify	PlaySong	włącz kawałek wróć na spotify	o o b-song o o
Spotify	PlaySong	graj ostatni raz	o b-song i-song
Spotify	PlaySong	graj od tańca na spotify	o b-song i-song o o
Spotify	PlaySong	graj piosenkę osiem to za mało na spotify	o o b-song i-song i-song i-song o o
Spotify	PlaySong	graj utwór wędrówka	o o b-song
Spotify	PlaySong	graj utwór polska na spotify	o o b-song o o
Spotify	PlaySong	graj kawałek all spies	o o b-song i-song
Spotify	PlaySong	graj kawałek hej panie na spotify	o o b-song i-song o o
Spotify	PlaySong	zagraj niepewność	o b-song
Spotify	PlaySong	zagraj odds against tomorrow na spotify	o b-song i-song i-song o o
Spotify	PlaySong	zagraj piosenkę nie ma nas	o o b-song i-song i-song
Spotify	PlaySong	zagraj piosenkę what a time to be alive na spotify	o o b-song i-song i-song i-song i-song i-song o o
Spotify	PlaySong	zagraj utwór run to me	o o b-song i-song i-song
Spotify	PlaySong	zagraj utwór moscow na spotify	o o b-song o o
Spotify	PlaySong	zagraj kawałek door man	o o b-song i-song
Spotify	PlaySongByArtist	odtwarzaj żmijowisko łona na spotify	o b-song b-artist o o
Spotify	PlaySongByArtist	odtwarzaj paco artysty magic dirt	o b-song o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj król życia artysty boy harsher na spotify	o b-song i-song o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj na drugim brzegu tęczy w wykonaniu lingua ignota	o b-song i-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj nieboskłon w wykonaniu spelling na spotify	o b-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj you are here stworzony przez trupa trupa	o b-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj miasto stworzony przez matmos na spotify	o b-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj mgła 3 nagrany przez mata	o b-song i-song o o b-artist
Spotify	PlaySongByArtist	odtwarzaj you should see me in a crown nagrany przez natalia przybysz na spotify	o b-song i-song i-song i-song i-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj piosenkę we will marcelina szlachcic	o o b-song i-song b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj piosenkę bud guy amyl and the sniffers na spotify	o o b-song i-song b-artist i-artist i-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj piosenkę koń na białym rycerzu artysty marcin sójka na spotify	o o b-song i-song i-song i-song o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj piosenkę aura w wykonaniu happysad	o o b-song o o b-artist
Spotify	PlaySongByArtist	odtwarzaj piosenkę we are surrounded w wykonaniu alicja na spotify	o o b-song i-song i-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj piosenkę think about what you love stworzony przez metronomy	o o b-song i-song i-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	odtwarzaj piosenkę zamki na piasku stworzony przez mura masa na spotify	o o b-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj piosenkę nienawiść 100% nagrany przez bon iver	o o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj piosenkę a survey nagrany przez laurie anderson na spotify	o o b-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj utwór nie mamy nic krzysztof krawczyk	o o b-song i-song i-song b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj utwór from julia jacklin na spotify	o o b-song b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj utwór obiecaj mi artysty mike krol	o o b-song i-song o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj utwór lajki artysty żabson na spotify	o o b-song o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj utwór goodbye pork pie hat w wykonaniu kacper blonsky	o o b-song i-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj utwór the dark cloud is comming w wykonaniu hunter na spotify	o o b-song i-song i-song i-song i-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj utwór visions stworzony przez the drums	o o b-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj utwór from a distance stworzony przez mac demarco na spotify	o o b-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj utwór perfume nagrany przez białas	o o b-song o o b-artist
Spotify	PlaySongByArtist	odtwarzaj utwór gold dust nagrany przez floating points na spotify	o o b-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	odtwarzaj kawałek esp ion age flying lotus	o o b-song i-song i-song b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj kawałek wisła destroyer na spotify	o o b-song b-artist o o
Spotify	PlaySongByArtist	odtwarzaj kawałek faktoria artysty julien chang	o o b-song o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj kawałek proszę pana artysty pezet na spotify	o o b-song i-song o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj kawałek what is she waring w wykonaniu fka twigs	o o b-song i-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj kawałek narodzeni na nowo w wykonaniu brodka na spotify	o o b-song i-song i-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj kawałek gra się do końca stworzony przez ostr	o o b-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	odtwarzaj kawałek fantas stworzony przez pond na spotify	o o b-song o o b-artist o o
Spotify	PlaySongByArtist	odtwarzaj kawałek pali się nagrany przez lee gamble	o o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	odtwarzaj kawałek aaron nagrany przez justin bieber na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść die unknown mortal orchestra	o b-song b-artist i-artist i-artist
Spotify	PlaySongByArtist	puść long time ago chelsea wolfe na spotify	o b-song i-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	puść wściekłe psy artysty grimes	o b-song i-song o b-artist
Spotify	PlaySongByArtist	puść jak gdyby nigdy nic artysty thom yorke na spotify	o b-song i-song i-song i-song o b-artist i-artist o o
Spotify	PlaySongByArtist	puść czerń w wykonaniu tool	o b-song o o b-artist
Spotify	PlaySongByArtist	puść piloci w wykonaniu wand na spotify	o b-song o o b-artist o o
Spotify	PlaySongByArtist	puść to nie miało prawa się stać stworzony przez king gizzard and the lizard wizard	o b-song i-song i-song i-song i-song o o b-artist i-artist i-artist i-artist i-artist i-artist
Spotify	PlaySongByArtist	puść sobie i wam stworzony przez fennesz na spotify	o b-song i-song i-song o o b-artist o o
Spotify	PlaySongByArtist	puść chant nagrany przez slow thai	o b-song o o b-artist i-artist
Spotify	PlaySongByArtist	puść umarł mój wróg nagrany przez modest mouse na spotify	o b-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść piosenkę kochaj mnie xiu xiu	o o b-song i-song b-artist i-artist
Spotify	PlaySongByArtist	puść piosenkę będzie lepiej sean mccann na spotify	o o b-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	puść piosenkę new years eve artysty talking heads	o o b-song i-song i-song o b-artist i-artist
Spotify	PlaySongByArtist	puść piosenkę irato artysty richard dawson na spotify	o o b-song o b-artist i-artist o o
Spotify	PlaySongByArtist	puść piosenkę 1800 grmów w wykonaniu dj nigga fox	o o b-song i-song o o b-artist i-artist i-artist
Spotify	PlaySongByArtist	puść piosenkę słoni w wykonaniu bartek królik na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść piosenkę climbing the walls stworzony przez andras	o o b-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	puść piosenkę vortex stworzony przez antek smykiewicz na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść piosenkę follow you nagrany przez patrycja markowska	o o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	puść piosenkę intro nagrany przez paweł domagała na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść utwór nothing has to be true małpa	o o b-song i-song i-song i-song i-song b-artist
Spotify	PlaySongByArtist	puść utwór any human friend lao che na spotify	o o b-song i-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	puść utwór glue artysty pidżama porno na spotify	o o b-song o b-artist i-artist o o
Spotify	PlaySongByArtist	puść utwór pająki w wykonaniu niemen	o o b-song o o b-artist
Spotify	PlaySongByArtist	puść utwór ołów w wykonaniu taco hemingway na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść utwór hawudepe stworzony przez kelly moran	o o b-song o o b-artist i-artist
Spotify	PlaySongByArtist	puść utwór prawie my stworzony przez matana roberts na spotify	o o b-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść utwór pełnia nagrany przez shellac	o o b-song o o b-artist
Spotify	PlaySongByArtist	puść utwór kurier nagrany przez ty segall na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść kawałek move me big thief	o o b-song i-song b-artist i-artist
Spotify	PlaySongByArtist	puść kawałek król afromental na spotify	o o b-song b-artist o o
Spotify	PlaySongByArtist	puść kawałek choo choo artysty organek	o o b-song i-song o b-artist
Spotify	PlaySongByArtist	puść kawałek rakiety artysty william basinski na spotify	o o b-song o b-artist i-artist o o
Spotify	PlaySongByArtist	puść kawałek turn me down w wykonaniu gang starr	o o b-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	puść kawałek dzieci duchy w wykonaniu sokół na spotify	o o b-song i-song o o b-artist o o
Spotify	PlaySongByArtist	puść kawałek end of my bloodline stworzony przez mafia gang	o o b-song i-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	puść kawałek moon in the water stworzony przez trójkąt warszawski na spotify	o o b-song i-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	puść kawałek raj nagrany przez hey	o o b-song o o b-artist
Spotify	PlaySongByArtist	puść kawałek sprzedawca jutra nagrany przez james blake na spotify	o o b-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj missing cleo	o b-song b-artist
Spotify	PlaySongByArtist	graj birth of violence ash koosha na spotify	o b-song i-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	graj no people to person artysty margaret	o b-song i-song i-song i-song o b-artist
Spotify	PlaySongByArtist	graj co się z nami stało artysty jan-rapowanie na spotify	o b-song i-song i-song i-song o b-artist o o
Spotify	PlaySongByArtist	graj twoje motylki w wykonaniu black midi	o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj traffic w wykonaniu daniel avery na spotify	o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj się poruszam 1 stworzony przez dumplings	o b-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	graj ciemność stworzony przez mela koteluk na spotify	o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj american idiot nagrany przez lightning bolt	o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj związek x nagrany przez mosses sumney na spotify	o b-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj piosenkę the city of roses de mono	o o b-song i-song i-song i-song b-artist i-artist
Spotify	PlaySongByArtist	graj piosenkę got you tim hecker na spotify	o o b-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	graj piosenkę ej chłopaku artysty myslovitz	o o b-song i-song o b-artist
Spotify	PlaySongByArtist	graj piosenkę niemiłość artysty american football na spotify	o o b-song o b-artist i-artist o o
Spotify	PlaySongByArtist	graj piosenkę szkło w wykonaniu the black keys	o o b-song o o b-artist i-artist i-artist
Spotify	PlaySongByArtist	graj piosenkę trofea w wykonaniu greenday na spotify	o o b-song o o b-artist o o
Spotify	PlaySongByArtist	graj piosenkę plastic stworzony przez nils frahm	o o b-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj piosenkę hit man stworzony przez coma na spotify	o o b-song i-song o o b-artist o o
Spotify	PlaySongByArtist	graj piosenkę monster nagrany przez szpaku	o o b-song o o b-artist
Spotify	PlaySongByArtist	graj piosenkę zabawawa nagrany przez dawid podsiadło na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj utwór jupiter 4 noże	o o b-song i-song b-artist
Spotify	PlaySongByArtist	graj utwór an ambulance marika hackman na spotify	o o b-song i-song b-artist i-artist o o
Spotify	PlaySongByArtist	graj utwór na osiedlu artysty enej	o o b-song i-song o b-artist
Spotify	PlaySongByArtist	graj utwór hokejowy zamek artysty mrozu na spotify	o o b-song i-song o b-artist o o
Spotify	PlaySongByArtist	graj utwór the arrow of our youth w wykonaniu radiohead	o o b-song i-song i-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	graj utwór najnowszy klip w wykonaniu toro y moi na spotify	o o b-song i-song o o b-artist i-artist i-artist o o
Spotify	PlaySongByArtist	graj utwór wake up next to god stworzony przez rrose	o o b-song i-song i-song i-song i-song o o b-artist
Spotify	PlaySongByArtist	graj utwór do ani nagrany przez andy stott	o o b-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj utwór wonder nagrany przez peja na spotify	o o b-song o o b-artist o o
Spotify	PlaySongByArtist	graj kawałek body mateusz ziółko	o o b-song b-artist i-artist
Spotify	PlaySongByArtist	graj kawałek w piątki leżę w wannie car seat headrest na spotify	o o b-song i-song i-song i-song i-song b-artist i-artist i-artist o o
Spotify	PlaySongByArtist	graj kawałek bezczelnie artysty jeff parker	o o b-song o b-artist i-artist
Spotify	PlaySongByArtist	graj kawałek cały artysty muniek staszczyk na spotify	o o b-song o b-artist i-artist o o
Spotify	PlaySongByArtist	graj kawałek skarbie w wykonaniu glass beach	o o b-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj kawałek slowboat w wykonaniu angel olsen na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj kawałek necromania stworzony przez pup	o o b-song o o b-artist
Spotify	PlaySongByArtist	graj kawałek not this time stworzony przez purple mountains na spotify	o o b-song i-song i-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	graj kawałek prosto w serce nagrany przez charlotte gainsbourg	o o b-song i-song i-song o o b-artist i-artist
Spotify	PlaySongByArtist	graj kawałek flow nagrany przez andy shauf na spotify	o o b-song o o b-artist i-artist o o
Spotify	PlaySongByArtist	zagraj paper boy nosowska	o b-song i-song b-artist
Spotify	PlaySongByArtist	zagraj 74 the offspring na spotify	o b-song b-artist i-artist o o
Spotify	PlaySongByArtist	zagraj touch that space artysty piotr cugowski na spotify	o b-song i-song i-song o b-artist i-artist o o
