domain	intent	utterance	bio
Yelp	SearchRestaurant	restaurante	o
Yelp	SearchRestaurant	restaurante en yelp	o o o
Yelp	SearchRestaurant	restaurante por aquí	o o o
Yelp	SearchRestaurant	restaurante cerca	o o
Yelp	SearchRestaurant	restaurante cerca de aquí	o o o o
Yelp	SearchRestaurant	restaurantes	o
Yelp	SearchRestaurant	restaurantes en yelp	o o o
Yelp	SearchRestaurant	restaurantes por aquí	o o o
Yelp	SearchRestaurant	restaurantes cerca	o o
Yelp	SearchRestaurant	busca restaurante en yelp	o o o o
Yelp	SearchRestaurant	busca restaurante por aquí	o o o o
Yelp	SearchRestaurant	busca restaurante cerca	o o o
Yelp	SearchRestaurant	busca restaurante cerca de aquí	o o o o o
Yelp	SearchRestaurant	busca restaurantes	o o
Yelp	SearchRestaurant	busca restaurantes en yelp	o o o o
Yelp	SearchRestaurant	busca restaurantes por aquí	o o o o
Yelp	SearchRestaurant	busca restaurantes cerca	o o o
Yelp	SearchRestaurant	busca restaurantes cerca de aquí	o o o o o
Yelp	SearchRestaurant	encuentra restaurante	o o
Yelp	SearchRestaurant	encuentra restaurante en yelp	o o o o
Yelp	SearchRestaurant	encuentra restaurante por aquí	o o o o
Yelp	SearchRestaurant	encuentra restaurante cerca	o o o
Yelp	SearchRestaurant	encuentra restaurante cerca de aquí	o o o o o
Yelp	SearchRestaurant	encuentra restaurantes en yelp	o o o o
Yelp	SearchRestaurant	encuentra restaurantes por aquí	o o o o
Yelp	SearchRestaurant	encuentra restaurantes cerca	o o o
Yelp	SearchRestaurant	encuentra restaurantes cerca de aquí	o o o o o
Yelp	SearchRestaurant	restaurantes más cercanos por aquí	o o o o o
Yelp	SearchRestaurant	restaurantes más cerca de aquí	o o o o o
Yelp	SearchByQuery	cafetería	b-query
Yelp	SearchByQuery	estacionamiento del centro de redmond por aquí	b-query i-query i-query i-query i-query o o
Yelp	SearchByQuery	mejores cervezas artesanales y restaurantes locales en yelp	b-query i-query i-query i-query i-query i-query o o
Yelp	SearchByRating	4 star restaurants	b-rating o o
Yelp	SearchByRating	5 star restaurants on yelp	b-rating o o o o
Yelp	SearchByRating	restaurants rated higher than 3 star	o o o o b-rating o
Yelp	SearchByCategory	comida americana	o b-category.f
Yelp	SearchByCategory	comida italiana por aquí	o b-category.f o o
Yelp	SearchByCategory	comida japonesa cerca	o b-category.f o
Yelp	SearchByCategory	restaurantes japoneses	o b-category.mpl
Yelp	SearchByCategory	restaurantes franceses por aquí	o b-category.mpl o o
Yelp	OpenRestaurants	restaurantes todavía abiertos por aquí	o o o o o
Yelp	OpenRestaurants	restaurantes abiertos hasta ahora cerca	o o o o o
Yelp	OpenRestaurants	restaurantes abiertos hasta ahora cerca de aquí	o o o o o o o
Yelp	OpenRestaurants	restaurantes abiertos ahora	o o o
Yelp	SearchByReviewCount	restaurantes cerca de aquí con opiniones de por lo menos 1000 personas	o o o o o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurantes cerca de aquí con opiniones de más de 100 personas	o o o o o o o o o b-review_count o
