domain	intent	utterance	bio
Fitbit	ShowSteps	the number of steps from fitbit	o o o o o o
Fitbit	ShowSteps	the count of steps from fitbit	o o o o o o
Fitbit	ShowSteps	the step count from fitbit	o o o o o
Fitbit	ShowSteps	the number of steps i took	o o o o o o
Fitbit	ShowSteps	my fitbit step count	o o o o
Fitbit	ShowSteps	the fitbit pedometer	o o o
Fitbit	ShowSteps	the steps i have taken	o o o o o
Fitbit	ShowSteps	get my steps from fitbit	o o o o o
Fitbit	ShowSteps	get the number of steps from fitbit	o o o o o o o
Fitbit	ShowSteps	get the count of steps from fitbit	o o o o o o o
Fitbit	ShowSteps	get the step count from fitbit	o o o o o o
Fitbit	ShowSteps	get the number of steps i took	o o o o o o o
Fitbit	ShowSteps	get my fitbit step count	o o o o o
Fitbit	ShowSteps	get the fitbit pedometer	o o o o
Fitbit	ShowSteps	get the fitbit step counter	o o o o o
Fitbit	ShowStepsOnDate	get my fitbit step count on 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	get my fitbit step count on 1st January	o o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get my fitbit steps on 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	get my fitbit steps on 1st January	o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get my fitbit steps on 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	get the count of steps on 1st January from fitbit	o o o o o o b-date i-date o o
Fitbit	ShowStepsOnDate	get the count of steps on 15.02.2020 from fitbit	o o o o o o b-date o o
Fitbit	ShowStepsOnDate	get the fitbit pedometer on 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	get the fitbit pedometer on 1st January	o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get the fitbit pedometer on 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	get the fitbit step counter on 1st January	o o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get the fitbit step counter on 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	get the fitbit step counter on 1st January	o o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get the number of steps from fitbit on 15.02.2020	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	get the number of steps from fitbit on 1st January	o o o o o o o o b-date i-date
Fitbit	ShowStepsOnDate	get the number of steps from fitbit on 15.02.2020	o o o o o o o o b-date
