domain	intent	utterance	bio
Fitbit	ShowSteps	mis pasos de fitbit	o o o o
Fitbit	ShowSteps	el número de pasos de fitbit	o o o o o o
Fitbit	ShowSteps	el número de pasos que hice	o o o o o o
Fitbit	ShowSteps	mi número de pasos de fitbit	o o o o o o
Fitbit	ShowSteps	el pedómetro de fitbit	o o o o
Fitbit	ShowSteps	el contador de pasos de fitbit	o o o o o o
Fitbit	ShowSteps	dame el número de pasos de fitbit	o o o o o o o
Fitbit	ShowSteps	dame el número de pasos que hice	o o o o o o o
Fitbit	ShowSteps	dame mi número de pasos de fitbit	o o o o o o o
Fitbit	ShowSteps	dame el pedómetro de fitbit	o o o o o
Fitbit	ShowSteps	dame el contador de pasos de fitbit	o o o o o o o
Fitbit	ShowSteps	dame los pasos que hice	o o o o o
Fitbit	ShowStepsOnDate	dame el contador de pasos de fitbit el 15.02.2020	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el contador de pasos de fitbit el 15 de mayo	o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame el contador de pasos de fitbit el 28.06	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el número de pasos de fitbit que hice el 1 de enero	o o o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame el número de pasos de fitbit que hice el 15.02.2020	o o o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el número de pasos de fitbit que hice el 15 de mayo	o o o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame el número de pasos de fitbit que hice el 28.06	o o o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el número de pasos el 1 de enero de fitbit	o o o o o o b-date i-date i-date o o
Fitbit	ShowStepsOnDate	dame el número de pasos el 15.02.2020 de fitbit	o o o o o o b-date o o
Fitbit	ShowStepsOnDate	dame el número de pasos el 15 de mayo de fitbit	o o o o o o b-date i-date i-date o o
Fitbit	ShowStepsOnDate	dame el número de pasos el 28.06 de fitbit	o o o o o o b-date o o
Fitbit	ShowStepsOnDate	dame el número de pasos que hice el 1 de enero	o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame el número de pasos que hice el 15.02.2020	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el número de pasos que hice el 15 de mayo	o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame el número de pasos que hice el 28.06	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el pedómetro de fitbit el 1 de enero	o o o o o o b-date i-date i-date
