domain	intent	utterance	bio
Weather	OpenWeather	the weather	o o
Weather	OpenWeather	what's the weather	o o o
Weather	OpenWeather	what's the weather outside	o o o o
Weather	OpenWeather	what's the weather like	o o o o
Weather	OpenWeather	what's the weather like outside	o o o o o
Weather	WeatherTomorrow	weather tomorrow	o o
Weather	WeatherTomorrow	what's the weather tommorow	o o o o
Weather	WeatherTomorrow	what's the weather tommorow like	o o o o o
Weather	MoonphaseInLocation	moon phase for berlin	o o o b-location
Weather	MoonphaseInLocation	moon phase for paris	o o o b-location
Weather	MoonphaseInLocation	moon phase for tokyo	o o o b-location
Weather	MoonphaseInLocation	moon phase for warsaw	o o o b-location
Weather	MoonphaseInLocation	moon phase for location new york	o o o o b-location i-location
Weather	MoonphaseInLocation	moon phase for location dubai	o o o o b-location
Weather	MoonphaseInLocation	moon phase for location seul	o o o o b-location
Weather	MoonphaseInLocationOnDate	moon phase for summit on date 15 june	o o o b-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for ringsted on date 7 september	o o o b-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for nixon on date 30 january	o o o b-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for location sussex on date 15 june	o o o o b-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for location saint robert on date 7 september	o o o o b-location i-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for location east berkshire on date 30 january	o o o o b-location i-location o o b-date i-date
Weather	MoonphaseInLocationOnDate	moon phase for location toyah on date 15 june	o o o o b-location o o b-date i-date
Weather	SunriseAndSunsetInLocation	sunrise and sunset for location shawano	o o o o o b-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset for location terrace park	o o o o o b-location i-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset for location rockhouse	o o o o o b-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset for location south international falls	o o o o o b-location i-location i-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset times at fairlee	o o o o o b-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset times at erin	o o o o o b-location
Weather	SunriseAndSunsetInLocation	sunrise and sunset times at jayess	o o o o o b-location
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset for location beaman on date 30 january	o o o o o b-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset for location copalis crossing on date 15 june	o o o o o b-location i-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset for location kraemer on date 7 september	o o o o o b-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset times at michael on date 30 january	o o o o o b-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset times at mount orab on date 15 june	o o o o o b-location i-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset times at index on date 7 september	o o o o o b-location o o b-date i-date
Weather	SunriseAndSunsetInLocationAndOnDate	sunrise and sunset times at center moriches on date 30 january	o o o o o b-location i-location o o b-date i-date
Weather	SunriseInLocation	sunrise at gerton	o o b-location
Weather	SunriseInLocation	sunrise at midland city	o o b-location i-location
Weather	SunriseInLocation	sunrise at round rock	o o b-location i-location
Weather	SunriseInLocation	sunrise time at kaneohe	o o o b-location
Weather	SunriseInLocation	sunrise time at high bridge	o o o b-location i-location
Weather	SunriseInLocation	sunrise time at east fairfield	o o o b-location i-location
Weather	SunriseInLocation	sunrise time at wynne	o o o b-location
Weather	SunriseInLocation	when is sunrise at newkirk	o o o o b-location
Weather	SunriseInLocation	when is sunrise at wheeling	o o o o b-location
Weather	SunriseInLocation	when is sunrise at ewen	o o o o b-location
Weather	SunriseInLocation	when is sunrise at mass city	o o o o b-location i-location
Weather	SunriseInLocation	when is sunrise time at lynndyl	o o o o o b-location
Weather	SunriseInLocation	when is sunrise time at coppell	o o o o o b-location
