domain	intent	utterance	bio
Facebook	OpenFacebook	wyślij coś na facebooku	o o o o
Facebook	OpenFacebook	uploaduj coś na facebooku	o o o o
Facebook	OpenFacebook	dodaj coś na facebooku	o o o o
Facebook	OpenFacebook	umieść coś na facebooku	o o o o
Facebook	OpenFacebook	stwórz nowy post na facebooka	o o o o o
Facebook	OpenFacebook	zaktualizuj status na facebooku	o o o o
Facebook	PostStatus	napisz status myślę że możemy umrzeć na koronawirusa na facebooku	o o b-status i-status i-status i-status i-status i-status o o
Facebook	PostStatus	umieść potrzebuję kawy na facebooku	o b-status i-status o o
Facebook	PostStatus	umieść status czy ktoś może polecić mi buty do biegania na facebooku	o o b-status i-status i-status i-status i-status i-status i-status i-status o o
Facebook	PostStatus	stwórz nowy film tarantino jest... nienajlepszy na facebooku	o b-status i-status i-status i-status i-status o o
Facebook	PostStatus	stwórz status życie jest ciężkie na facebooku	o o b-status i-status i-status o o
Facebook	PostStatus	dodaj myślę że możemy umrzeć na koronawirusa na facebooku	o b-status i-status i-status i-status i-status i-status o o
Facebook	PostStatus	dodaj status potrzebuję kawy na facebooku	o o b-status i-status o o
Facebook	PostStatus	napisz na facebooku czy ktoś może polecić mi buty do biegania	o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	napisz na facebooku o tym że nowy film tarantino jest... nienajlepszy	o o o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	napisz status na facebooku życie jest ciężkie	o o o o b-status i-status i-status
Facebook	PostStatus	napisz status na facebooku o tym że myślę że możemy umrzeć na koronawirusa	o o o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	umieść na facebooku potrzebuję kawy	o o o b-status i-status
Facebook	PostStatus	umieść na facebooku o tym że czy ktoś może polecić mi buty do biegania	o o o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	umieść status na facebooku o tym że życie jest ciężkie	o o o o o o o b-status i-status i-status
Facebook	PostStatus	stwórz na facebooku myślę że możemy umrzeć na koronawirusa	o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	stwórz na facebooku o tym że potrzebuję kawy	o o o o o o b-status i-status
Facebook	PostStatus	stwórz status na facebooku czy ktoś może polecić mi buty do biegania	o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	stwórz status na facebooku o tym że nowy film tarantino jest... nienajlepszy	o o o o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	dodaj na facebooku życie jest ciężkie	o o o b-status i-status i-status
Facebook	PostStatus	dodaj na facebooku o tym że myślę że możemy umrzeć na koronawirusa	o o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	dodaj status na facebooku potrzebuję kawy	o o o o b-status i-status
Facebook	PostStatus	dodaj status na facebooku o tym że czy ktoś może polecić mi buty do biegania	o o o o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	zaktualizuj facebooka o nowy film tarantino jest... nienajlepszy	o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	zaktualizuj facebooka o status życie jest ciężkie	o o o o b-status i-status i-status
Facebook	PostStatus	zaktualizuj facebooka o status mówiący myślę że możemy umrzeć na koronawirusa	o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	zaktualizuj mojego facebooka o potrzebuję kawy	o o o o b-status i-status
Facebook	PostStatus	zaktualizuj mojego facebooka o status czy ktoś może polecić mi buty do biegania	o o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	zaktualizuj mojego facebooka o status mówiący nowy film tarantino jest... nienajlepszy	o o o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	updateuj facebooka o życie jest ciężkie	o o o b-status i-status i-status
Facebook	PostStatus	updateuj facebooka o status myślę że możemy umrzeć na koronawirusa	o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	updateuj facebooka o status mówiący potrzebuję kawy	o o o o o b-status i-status
Facebook	PostStatus	updateuj mojego facebooka o czy ktoś może polecić mi buty do biegania	o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	updateuj mojego facebooka o status nowy film tarantino jest... nienajlepszy	o o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	updateuj mojego facebooka o status mówiący życie jest ciężkie	o o o o o o b-status i-status i-status
Facebook	PostStatus	informuj facebooka o myślę że możemy umrzeć na koronawirusa	o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	informuj facebooka o status mówiący czy ktoś może polecić mi buty do biegania	o o o o o b-status i-status i-status i-status i-status i-status i-status i-status
Facebook	PostStatus	informuj mojego facebooka o nowy film tarantino jest... nienajlepszy	o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	informuj mojego facebooka o status życie jest ciężkie	o o o o o b-status i-status i-status
Facebook	PostStatus	informuj mojego facebooka o status mówiący myślę że możemy umrzeć na koronawirusa	o o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	wyślij post że potrzebuję kawy	o o o b-status i-status
Facebook	PostStatus	wyślij post że czy ktoś może polecić mi buty do biegania na facebooku	o o o b-status i-status i-status i-status i-status i-status i-status i-status o o
Facebook	PostStatus	wyślij post który mówi nowy film tarantino jest... nienajlepszy	o o o o b-status i-status i-status i-status i-status
Facebook	PostStatus	wyślij post który mówi życie jest ciężkie na facebooku	o o o o b-status i-status i-status o o
Facebook	PostStatus	wyślij post który mówi że myślę że możemy umrzeć na koronawirusa	o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	wyślij post który mówi że potrzebuję kawy na facebooku	o o o o o b-status i-status o o
Facebook	PostStatus	wyślij post o treści czy ktoś może polecić mi buty do biegania	o o o o b-status i-status i-status i-status i-status i-status i-status i-status
