domain	intent	utterance	bio
Fitbit	ShowSteps	moje kroki na fitbicie	o o o o
Fitbit	ShowSteps	moje kroki w fitbicie	o o o o
Fitbit	ShowSteps	ilość kroków na fitbicie	o o o o
Fitbit	ShowSteps	liczbę kroków na fitbicie	o o o o
Fitbit	ShowSteps	liczbę kroków w fitbicie	o o o o
Fitbit	ShowSteps	liczbę kroków którą zrobiłem	o o o o
Fitbit	ShowSteps	liczbę kroków którą przeszedłem	o o o o
Fitbit	ShowSteps	krokomierz	o
Fitbit	ShowSteps	licznik kroków	o o
Fitbit	ShowSteps	podaj moje kroki na fitbicie	o o o o o
Fitbit	ShowSteps	podaj moje kroki w fitbicie	o o o o o
Fitbit	ShowSteps	podaj ilośc kroków na fitbicie	o o o o o
Fitbit	ShowSteps	podaj ilośc kroków w fitbicie	o o o o o
Fitbit	ShowSteps	podaj liczbę kroków na fitbicie	o o o o o
Fitbit	ShowSteps	podaj liczbę kroków w fitbicie	o o o o o
Fitbit	ShowSteps	podaj liczbę kroków którą zrobiłem	o o o o o
Fitbit	ShowSteps	podaj liczbę kroków którą przeszedłem	o o o o o
Fitbit	ShowSteps	podaj krokomierz	o o
Fitbit	ShowSteps	podaj licznik kroków	o o o
Fitbit	ShowSteps	podaj mi moje kroki na fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi moje kroki w fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi ilośc kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi ilośc kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi liczbę kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi liczbę kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	podaj mi liczbę kroków którą zrobiłem	o o o o o o
Fitbit	ShowSteps	podaj mi liczbę kroków którą przeszedłem	o o o o o o
Fitbit	ShowSteps	podaj mi krokomierz	o o o
Fitbit	ShowSteps	podaj mi licznik kroków	o o o o
Fitbit	ShowSteps	wyświetl moje kroki na fitbicie	o o o o o
Fitbit	ShowSteps	wyświetl moje kroki w fitbicie	o o o o o
Fitbit	ShowSteps	wyświetl ilośc kroków na fitbicie	o o o o o
Fitbit	ShowSteps	wyświetl ilośc kroków w fitbicie	o o o o o
Fitbit	ShowSteps	wyświetl liczbę kroków w fitbicie	o o o o o
Fitbit	ShowSteps	wyświetl liczbę kroków którą zrobiłem	o o o o o
Fitbit	ShowSteps	wyświetl liczbę kroków którą przeszedłem	o o o o o
Fitbit	ShowSteps	wyświetl krokomierz	o o
Fitbit	ShowSteps	wyświetl licznik kroków	o o o
Fitbit	ShowSteps	wyświetl mi moje kroki na fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi moje kroki w fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi ilośc kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi ilośc kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi liczbę kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi liczbę kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	wyświetl mi liczbę kroków którą zrobiłem	o o o o o o
Fitbit	ShowSteps	wyświetl mi liczbę kroków którą przeszedłem	o o o o o o
Fitbit	ShowSteps	wyświetl mi krokomierz	o o o
Fitbit	ShowSteps	wyświetl mi licznik kroków	o o o o
Fitbit	ShowSteps	pokaż moje kroki na fitbicie	o o o o o
Fitbit	ShowSteps	pokaż moje kroki w fitbicie	o o o o o
Fitbit	ShowSteps	pokaż ilośc kroków na fitbicie	o o o o o
Fitbit	ShowSteps	pokaż ilośc kroków w fitbicie	o o o o o
Fitbit	ShowSteps	pokaż liczbę kroków na fitbicie	o o o o o
Fitbit	ShowSteps	pokaż liczbę kroków w fitbicie	o o o o o
Fitbit	ShowSteps	pokaż liczbę kroków którą zrobiłem	o o o o o
Fitbit	ShowSteps	pokaż liczbę kroków którą przeszedłem	o o o o o
Fitbit	ShowSteps	pokaż krokomierz	o o
Fitbit	ShowSteps	pokaż licznik kroków	o o o
Fitbit	ShowSteps	pokaż mi moje kroki na fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi moje kroki w fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi ilośc kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi ilośc kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi liczbę kroków na fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi liczbę kroków w fitbicie	o o o o o o
Fitbit	ShowSteps	pokaż mi liczbę kroków którą zrobiłem	o o o o o o
Fitbit	ShowSteps	pokaż mi liczbę kroków którą przeszedłem	o o o o o o
Fitbit	ShowSteps	pokaż mi krokomierz	o o o
Fitbit	ShowSteps	pokaż mi licznik kroków	o o o o
Fitbit	ShowSteps	policz moje kroki na fitbicie	o o o o o
Fitbit	ShowSteps	policz moje kroki w fitbicie	o o o o o
Fitbit	ShowSteps	policz ilośc kroków na fitbicie	o o o o o
Fitbit	ShowSteps	policz ilośc kroków w fitbicie	o o o o o
Fitbit	ShowSteps	policz liczbę kroków na fitbicie	o o o o o
Fitbit	ShowSteps	policz liczbę kroków w fitbicie	o o o o o
Fitbit	ShowSteps	policz liczbę kroków którą przeszedłem	o o o o o
Fitbit	ShowSteps	policz krokomierz	o o
Fitbit	ShowSteps	policz licznik kroków	o o o
Fitbit	ShowSteps	policz mi moje kroki na fitbicie	o o o o o o
Fitbit	ShowSteps	policz mi moje kroki w fitbicie	o o o o o o
Fitbit	ShowSteps	policz mi ilośc kroków na fitbicie	o o o o o o
