domain	intent	utterance	bio
Slack	OpenSlack	open slack	o o
Slack	OpenSlack	open slack app	o o o
Slack	OpenSlack	open the slack	o o o
Slack	OpenSlack	launch slack	o o
Slack	OpenSlack	launch the slack	o o o
Slack	OpenSlack	launch the slack app	o o o o
Slack	CheckLastMessages	check my last slack messages	o o o o o
Slack	CheckLastMessages	check my slack channel history	o o o o o
Slack	CheckLastMessages	get my last slack messages	o o o o o
Slack	CheckUserStatus	check the presence of jack on slack	o o o o b-username o o
Slack	CheckUserStatus	check the presence of andrew on slack	o o o o b-username o o
Slack	CheckUserStatus	check the presence of marry on slack	o o o o b-username o o
Slack	CheckUserStatus	check the presence of jon on slack	o o o o b-username o o
Slack	CheckUserStatus	check whether v.steen is active on slack	o o b-username o o o o
Slack	CheckUserStatus	check whether becki teller is active on slack	o o b-username i-username o o o o
Slack	CheckUserStatus	check whether kenneth broccolo is active on slack	o o b-username i-username o o o o
Slack	CheckUserStatus	check whether l.cellupica is active on slack	o o b-username o o o o
Slack	CheckUserStatus	check whether cordelia is away on slack	o o b-username o o o o
Slack	CheckUserStatus	check whether shaun oldridge is away on slack	o o b-username i-username o o o o
Slack	CheckUserStatus	check whether gertie is away on slack	o o b-username o o o o
Slack	CheckUserStatus	check whether r.vanniello is away on slack	o o b-username o o o o
Slack	CheckUserStatus	check whether charlee is away on slack	o o b-username o o o o
Slack	CheckMessagesFromUser	check messages i received on slack from mike	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from barry	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from xorgan	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from astrid	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from j.munuz	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from a.safdeye	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from ealdwulf	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from sibyl	o o o o o o o b-sender
Slack	CheckMessagesFromUser	check messages i received on slack from hank kady	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	check recent messages from c.megginson in slack	o o o o b-sender o o
Slack	CheckMessagesFromUser	check recent messages from chance burgio in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from jesse malton in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from shannon kasuba in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from charlotte stoney in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from linda liffick in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from katey in slack	o o o o b-sender o o
Slack	CheckMessagesFromUser	check recent messages from angel kocsis in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	check recent messages from a.arent in slack	o o o o b-sender o o
Slack	CheckMessagesFromUser	get messages i received on slack from zack warnock	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	get messages i received on slack from tate	o o o o o o o b-sender
Slack	CheckMessagesFromUser	get messages i received on slack from emil lian	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	get messages i received on slack from vivian menk	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	get messages i received on slack from k.myrtle	o o o o o o o b-sender
Slack	CheckMessagesFromUser	get messages i received on slack from leslie sahler	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	get messages i received on slack from mercedes marwick	o o o o o o o b-sender i-sender
Slack	CheckMessagesFromUser	get messages i received on slack from j.merrit	o o o o o o o b-sender
Slack	CheckMessagesFromUser	get messages i received on slack from r.bunda	o o o o o o o b-sender
Slack	CheckMessagesFromUser	get recent messages from effie cowden in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from helen in slack	o o o o b-sender o o
Slack	CheckMessagesFromUser	get recent messages from corey in slack	o o o o b-sender o o
Slack	CheckMessagesFromUser	get recent messages from william brezinski in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from melvin chrispen in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from lisa lyttle in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from ælfweard hattan in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from lanna lauren in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesFromUser	get recent messages from danna mcgarrigle in slack	o o o o b-sender i-sender o o
Slack	CheckMessagesInChannel	check recent slack messages in work	o o o o o b-channel
Slack	CheckMessagesInChannel	check messages i received on slack in party	o o o o o o o b-channel
Slack	CheckMessagesInChannel	check slack messages in river i received in the last hour	o o o o b-channel o o o o o o
Slack	CheckMessagesInChannel	get recent slack messages in my fellas	o o o o o b-channel i-channel
Slack	CheckMessagesInChannel	get messages i received on slack in jogging	o o o o o o o b-channel
Slack	SendMessageToChannel	let slack channel transportation know that are we providing testimony to the contrary  ?	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel timeline know that by carrie peyton dale kasler and john hill	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel fundamentally know that start talks with venture capital firms in other	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel memorandum know that to sell to california during shortages	o o o b-channel o o b-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel possibilities know that been a little out of the loop lately	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel steps know that prices at which it will buy and sell electricity	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel kobra know that for incumbent carriers the fund will invest between	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel helicopters know that release its conclusions on dabhol today	o o o b-channel o o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	let slack channel porter know that include internet application development web site	o o o b-channel o o b-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message teamsters on slack saying personalizes web sites and portals; and mediaprise	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message baking on slack saying members including gatc european technology ventures	o b-channel o o o b-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message featuring on slack saying forward that along for folks review later today	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message citibank on slack saying group will not expose company to any such charges	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message sellers on slack saying no idea let me know if you hear something	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message megawatts on slack saying sector nth power technologies is a venture capital	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message confidentially on slack saying declare power alerts on several days last month	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message costs on slack saying further about a response to the cpuc thank you	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	message trader on slack saying the company proflowers is funded by private investors	o b-channel o o o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post kathleen pender chronicle staff writer to editorial on slack	o b-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post ceo scott p peters and president andrew r moore to network on slack	o b-message i-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post settlements discrepancies as well to grocery on slack	o b-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post contact your hr representative to work on slack	o b-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post said it closed its series a round of funding with to party on slack	o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post non conventional energy sources  to river on slack	o b-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post that automatically update contact information among to my fellas on slack	o b-message i-message i-message i-message i-message i-message o b-channel i-channel o o
Slack	SendMessageToChannel	post we need to talk to jogging on slack	o b-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	post a message on slack to timeline saying gillette said the new name has not been decided	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to fundamentally saying lynn attached is the worksheet that you requested	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to memorandum saying the funds to expand operations sales and marketing	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to possibilities saying focus on his other company industryprocom the	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to steps saying allocation has been completed	o o o o o o b-channel o b-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to kobra saying the edison venture fund and individual investors	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to helicopters saying incremental revenue from telesales channel	o o o o o o b-channel o b-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to porter saying fund managements sprint sun america times mirror	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	post a message on slack to services saying the suit denne said today	o o o o o o b-channel o b-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send harold morrow would serve as a third tailback to speculate on slack	o b-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send seventh circuit says jury must decide if neuropathy victim to teamsters on slack	o b-message i-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send how are things to baking on slack	o b-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send liquidation of the underlying assets or an equity offering in to featuring on slack	o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send in its second round of funding investors for the to citibank on slack	o b-message i-message i-message i-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send whomever else provided comments to sellers on slack	o b-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send network linking child care professionals families to megawatts on slack	o b-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send welcome to the alumnijobs mailing list! to confidentially on slack	o b-message i-message i-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send more popular with municipalities to costs on slack	o b-message i-message i-message i-message o b-channel o o
Slack	SendMessageToChannel	send a message on slack to network saying technical support provider said it has acquired	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to concerned saying director of new media development for cox enterprises	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to grocery saying bill would end antitrust exemption for competitive services	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to work saying macklin former president of the national association	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to party saying canada the city of boston cit erie insurance	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to river saying drafted into facilitating the whole meeting	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to my fellas saying consideration by the senate finance committee	o o o o o o b-channel i-channel o b-message i-message i-message i-message i-message i-message
Slack	SendMessageToChannel	send a message on slack to jogging saying the plug on him it seemed really bad having him talk	o o o o o o b-channel o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
