domain	intent	utterance	bio
Wikipedia	OpenWikipedia	open wikipedia	o o
Wikipedia	OpenWikipedia	open wikipedia pages	o o o
Wikipedia	SearchQuery	rms titanic in wiki	b-query i-query o o
Wikipedia	SearchQuery	led zeppelin iv in wiki	b-query i-query i-query o o
Wikipedia	SearchQuery	gillette stadium in wiki	b-query i-query o o
Wikipedia	SearchQuery	mariah carey in wiki	b-query i-query o o
Wikipedia	SearchQuery	los angeles international airport in wiki	b-query i-query i-query i-query o o
Wikipedia	SearchQuery	berlin wall in wiki	b-query i-query o o
Wikipedia	SearchQuery	mark wahlberg in wiki	b-query i-query o o
Wikipedia	SearchQuery	coronavirus in wiki	b-query o o
Wikipedia	SearchQuery	emma watson in wiki	b-query i-query o o
Wikipedia	SearchQuery	chichen itza in wikipedia	b-query i-query o o
Wikipedia	SearchQuery	gateway of india in wikipedia	b-query i-query i-query o o
Wikipedia	SearchQuery	queen in wikipedia	b-query o o
Wikipedia	SearchQuery	big ben in wikipedia	b-query i-query o o
Wikipedia	SearchQuery	toronto in wikipedia	b-query o o
Wikipedia	SearchQuery	prince george of cambridge in wikipedia	b-query i-query i-query i-query o o
Wikipedia	SearchQuery	nina hartley in wikipedia	b-query i-query o o
Wikipedia	SearchQuery	hong kong in wikipedia	b-query i-query o o
Wikipedia	SearchQuery	to kill a mockingbird in wikipedia	b-query i-query i-query i-query o o
Wikipedia	SearchQuery	stonehenge matching in wiki	b-query o o o
Wikipedia	SearchQuery	mahabharata matching in wiki	b-query o o o
Wikipedia	SearchQuery	donald trump matching in wiki	b-query i-query o o o
Wikipedia	SearchQuery	eminem matching in wiki	b-query o o o
Wikipedia	SearchQuery	capital city of germany matching in wiki	b-query i-query i-query i-query o o o
Wikipedia	SearchQuery	shanghai tower matching in wiki	b-query i-query o o o
Wikipedia	SearchQuery	empire state building matching in wiki	b-query i-query i-query o o o
Wikipedia	SearchQuery	nebraska matching in wiki	b-query o o o
Wikipedia	SearchQuery	mike tyson matching in wiki	b-query i-query o o o
Wikipedia	SearchQuery	sgt. pepper's lonely hearts club band matching in wiki	b-query i-query i-query i-query i-query i-query o o o
Wikipedia	SearchQuery	moai matching in wikipedia	b-query o o o
Wikipedia	SearchQuery	john cena matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	gautama buddha matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	tom cruise matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	the marshall mathers lp matching in wikipedia	b-query i-query i-query i-query o o o
Wikipedia	SearchQuery	disneyland paris matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	prince philip matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	the hunger games matching in wikipedia	b-query i-query i-query o o o
Wikipedia	SearchQuery	tom hardy matching in wikipedia	b-query i-query o o o
Wikipedia	SearchQuery	mausoleum at halicarnassus matching in wikipedia	b-query i-query i-query o o o
Wikipedia	SearchQuery	find marilyn monroe on wiki	o b-query i-query o o
Wikipedia	SearchQuery	find mercedes-benz stadium on wiki	o b-query i-query o o
