domain	intent	utterance	bio
Youtube	OpenYT	otwórz yt	o o
Youtube	OpenYT	otwórz youtube	o o
Youtube	FindQuery	odtwórz major spz na yt	o b-query i-query o o
Youtube	FindQuery	odtwórz pan tadeusz na youtube	o b-query i-query o o
Youtube	FindQuery	odtwórz wideo z young policja	o o o b-query i-query
Youtube	FindQuery	odtwórz wideo z bor crew na yt	o o o b-query i-query o o
Youtube	FindQuery	odtwórz wideo z f1 na youtube	o o o b-query o o
Youtube	FindQuery	odtwórz klip z bad boys blue	o o o b-query i-query i-query
Youtube	FindQuery	odtwórz klip z eurovision junior 2019 na yt	o o o b-query i-query i-query o o
Youtube	FindQuery	odtwórz film z jestem sobie przedszkolaczek piosenka dla dzieci	o o o b-query i-query i-query i-query i-query i-query
Youtube	FindQuery	odtwórz film z chelsea eintracht frankfurt na yt	o o o b-query i-query i-query o o
Youtube	FindQuery	odtwórz film z kwiatkowski na youtube	o o o b-query o o
Youtube	FindQuery	odtwórz filmy z bts dna	o o o b-query i-query
Youtube	FindQuery	odtwórz filmy z ajax tottenham na yt	o o o b-query i-query o o
Youtube	FindQuery	odtwórz filmy z manchester city vs tottenham na youtube	o o o b-query i-query i-query i-query o o
Youtube	FindQuery	odtwórz filmiki z sonic trailer	o o o b-query i-query
Youtube	FindQuery	odtwórz filmiki z otomoto na yt	o o o b-query o o
Youtube	FindQuery	odtwórz filmiki z news na youtube	o o o b-query o o
Youtube	FindQuery	odtwarzaj tamagotchi na yt	o b-query o o
Youtube	FindQuery	odtwarzaj nikon d750 na youtube	o b-query i-query o o
Youtube	FindQuery	odtwarzaj wideo z baby yoda	o o o b-query i-query
Youtube	FindQuery	odtwarzaj wideo z fame mma 5 konferencja na yt	o o o b-query i-query i-query i-query o o
Youtube	FindQuery	odtwarzaj wideo z napraw na youtube	o o o b-query o o
Youtube	FindQuery	odtwarzaj klip z traktory	o o o b-query
Youtube	FindQuery	odtwarzaj klip z days gone na yt	o o o b-query i-query o o
Youtube	FindQuery	odtwarzaj klip z ksw na youtube	o o o b-query o o
Youtube	FindQuery	odtwarzaj film z autocentrum	o o o b-query
Youtube	FindQuery	odtwarzaj film z kamerzysta na youtube	o o o b-query o o
Youtube	FindQuery	odtwarzaj filmy z doki doki literature club	o o o b-query i-query i-query i-query
Youtube	FindQuery	odtwarzaj filmy z tones and i na yt	o o o b-query i-query i-query o o
Youtube	FindQuery	odtwarzaj filmy z 5 minute crafts na youtube	o o o b-query i-query i-query o o
Youtube	FindQuery	odtwarzaj filmiki z quebonafide	o o o b-query
Youtube	FindQuery	odtwarzaj filmiki z zoo na yt	o o o b-query o o
Youtube	FindQuery	odtwarzaj filmiki z senorita na youtube	o o o b-query o o
Youtube	FindQuery	pokaż max na yt	o b-query o o
Youtube	FindQuery	pokaż wideo z bjorg lambrecht	o o o b-query i-query
Youtube	FindQuery	pokaż wideo z dobrodziej na yt	o o o b-query o o
Youtube	FindQuery	pokaż wideo z ada na youtube	o o o b-query o o
Youtube	FindQuery	pokaż klip z trap	o o o b-query
Youtube	FindQuery	pokaż klip z alma perfect na yt	o o o b-query i-query o o
Youtube	FindQuery	pokaż klip z koszmarny karolek na youtube	o o o b-query i-query o o
Youtube	FindQuery	pokaż film z piotr woźniak starak	o o o b-query i-query i-query
Youtube	FindQuery	pokaż film z 5 promili na yt	o o o b-query i-query o o
Youtube	FindQuery	pokaż film z gora ty na youtube	o o o b-query i-query o o
Youtube	FindQuery	pokaż filmy z makijaz	o o o b-query
Youtube	FindQuery	pokaż filmy z kot na yt	o o o b-query o o
Youtube	FindQuery	pokaż filmy z pawcio na youtube	o o o b-query o o
Youtube	FindQuery	pokaż filmiki z baby	o o o b-query
Youtube	FindQuery	pokaż filmiki z malik montana jagodzianki na yt	o o o b-query i-query i-query o o
Youtube	FindQuery	pokaż filmiki z redmi k20 pro na youtube	o o o b-query i-query i-query o o
Youtube	FindQuery	wyświetl 24 na yt	o b-query o o
Youtube	FindQuery	wyświetl dens monki na youtube	o b-query i-query o o
Youtube	FindQuery	wyświetl wideo z mel b pośladki	o o o b-query i-query i-query
Youtube	FindQuery	wyświetl wideo z sail awolnation na yt	o o o b-query i-query o o
Youtube	FindQuery	wyświetl wideo z vexar na youtube	o o o b-query o o
Youtube	FindQuery	wyświetl klip z jagodzianki malik	o o o b-query i-query
Youtube	FindQuery	wyświetl klip z odwiedź 5 najwyższych miejsc na wyspie na yt	o o o b-query i-query i-query i-query i-query i-query o o
Youtube	FindQuery	wyświetl klip z calma na youtube	o o o b-query o o
Youtube	FindQuery	wyświetl film z polska tahiti	o o o b-query i-query
Youtube	FindQuery	wyświetl film z liverpool na yt	o o o b-query o o
Youtube	FindQuery	wyświetl film z lidokaina na youtube	o o o b-query o o
Youtube	FindQuery	wyświetl filmy z blacha	o o o b-query
Youtube	FindQuery	wyświetl filmy z troom troom na yt	o o o b-query i-query o o
Youtube	FindQuery	wyświetl filmy z bystrzak na youtube	o o o b-query o o
Youtube	FindQuery	wyświetl filmiki z chillwagon rower na yt	o o o b-query i-query o o
Youtube	FindQuery	wyświetl filmiki z fifa 20 na youtube	o o o b-query i-query o o
Youtube	FindQuery	chcę zobaczyć królowa na yt	o o b-query o o
Youtube	FindQuery	chcę zobaczyć customy fortnite na youtube	o o b-query i-query o o
Youtube	FindQuery	chcę zobaczyć wideo z motorola	o o o o b-query
Youtube	FindQuery	chcę zobaczyć wideo z the weekend na yt	o o o o b-query i-query o o
Youtube	FindQuery	chcę zobaczyć wideo z gumi miś na youtube	o o o o b-query i-query o o
Youtube	FindQuery	chcę zobaczyć klip z gumball	o o o o b-query
Youtube	FindQuery	chcę zobaczyć klip z horses in the back na youtube	o o o o b-query i-query i-query i-query o o
Youtube	FindQuery	chcę zobaczyć film z rodzinka pl	o o o o b-query i-query
Youtube	FindQuery	chcę zobaczyć film z señorita na yt	o o o o b-query o o
Youtube	FindQuery	chcę zobaczyć film z fame mma 4 live na youtube	o o o o b-query i-query i-query i-query o o
Youtube	FindQuery	chcę zobaczyć filmy z janusz nad morzem	o o o o b-query i-query i-query
Youtube	FindQuery	chcę zobaczyć filmy z grill u gawrona na yt	o o o o b-query i-query i-query o o
Youtube	FindQuery	chcę zobaczyć filmy z amg na youtube	o o o o b-query o o
Youtube	FindQuery	chcę zobaczyć filmiki z bismarck	o o o o b-query
Youtube	FindQuery	chcę zobaczyć filmiki z con calma na yt	o o o o b-query i-query o o
Youtube	FindQuery	chcę zobaczyć filmiki z monkey dance na youtube	o o o o b-query i-query o o
Youtube	FindQuery	wyszukaj heartbeat bts na yt	o b-query i-query o o
Youtube	FindQuery	wyszukaj wwa vhs na youtube	o b-query i-query o o
Youtube	FindQuery	wyszukaj wideo z real24	o o o b-query
Youtube	FindQuery	wyszukaj wideo z praca na yt	o o o b-query o o
Youtube	FindQuery	wyszukaj wideo z queen of mean na youtube	o o o b-query i-query i-query o o
Youtube	FindQuery	wyszukaj klip z świnka peppa bajki po polsku	o o o b-query i-query i-query i-query i-query
Youtube	FindQuery	wyszukaj klip z cejrowski na yt	o o o b-query o o
Youtube	FindQuery	wyszukaj klip z piotr glas 2019 na youtube	o o o b-query i-query i-query o o
Youtube	FindQuery	wyszukaj film z boy with luv	o o o b-query i-query i-query
Youtube	FindQuery	wyszukaj film z house na yt	o o o b-query o o
Youtube	FindQuery	wyszukaj film z blok d na youtube	o o o b-query i-query o o
Youtube	FindQuery	wyszukaj filmy z blackpink	o o o b-query
Youtube	FindQuery	wyszukaj filmy z 5 promili kamerzysta na yt	o o o b-query i-query i-query o o
Youtube	FindQuery	wyszukaj filmy z koszmar minionego lata na youtube	o o o b-query i-query i-query o o
Youtube	FindQuery	wyszukaj filmiki z pan paweł	o o o b-query i-query
Youtube	FindQuery	wyszukaj filmiki z lexy na yt	o o o b-query o o
Youtube	FindQuery	wyszukaj filmiki z więzień miłości 249 napisy pl na youtube	o o o b-query i-query i-query i-query i-query o o
Youtube	FindQuery	szukaj old town na yt	o b-query i-query o o
Youtube	FindQuery	szukaj jacus na youtube	o b-query o o
Youtube	FindQuery	szukaj wideo z notre dame fire	o o o b-query i-query i-query
Youtube	FindQuery	szukaj wideo z kotki na yt	o o o b-query o o
Youtube	FindQuery	szukaj wideo z safari na youtube	o o o b-query o o
Youtube	FindQuery	szukaj klip z kaczuszki	o o o b-query
Youtube	FindQuery	szukaj klip z patryk mikiciuk na yt	o o o b-query i-query o o
Youtube	FindQuery	szukaj film z typowy dres	o o o b-query i-query
Youtube	FindQuery	szukaj film z k-12 na yt	o o o b-query o o
Youtube	FindQuery	szukaj film z ona by tak chciała bez przekleństw na youtube	o o o b-query i-query i-query i-query i-query i-query o o
Youtube	FindQuery	szukaj filmy z miłość w czasach zarazy	o o o b-query i-query i-query i-query
Youtube	FindQuery	szukaj filmy z mata na yt	o o o b-query o o
Youtube	FindQuery	szukaj filmy z nba na youtube	o o o b-query o o
Youtube	FindQuery	szukaj filmiki z madzia boho hoho	o o o b-query i-query i-query
Youtube	FindQuery	szukaj filmiki z ronii ferrari na yt	o o o b-query i-query o o
Youtube	FindQuery	szukaj filmiki z the voice kıds 3 na youtube	o o o b-query i-query i-query i-query o o
Youtube	FindQuery	znajdź scary teacher 3d na yt	o b-query i-query i-query o o
Youtube	FindQuery	znajdź tymek na youtube	o b-query o o
