domain	intent	utterance	bio
Airconditioner	TurnOn	activa la calefacción	o b-av_alias i-av_alias
Airconditioner	TurnOn	activa el aire acondicionado	o b-av_alias i-av_alias i-av_alias
Airconditioner	TurnOn	enciende la refrigeración	o b-av_alias i-av_alias
Airconditioner	TurnOff	apaga el sistema de refrigeración	o b-av_alias i-av_alias i-av_alias i-av_alias
Airconditioner	TurnOff	apaga la calefacción	o b-av_alias i-av_alias
Airconditioner	TurnOff	desactiva el aire acondicionado	o b-av_alias i-av_alias i-av_alias
Airconditioner	ChangeTemperature	cambia la temperatura en mi termostato	o o o o o o
Airconditioner	ChangeTemperature	cambia la temperatura máxima y mínima en mi termostato	o o o o o o o o o
Airconditioner	SetTemperatureToValue	establece la temperatura a 79 grados fahrenheit en mi termostato	o o o o b-value i-value i-value o o o
Airconditioner	SetTemperatureToValue	establece la temperatura a 25 grados en mi termostato	o o o o b-value i-value o o o
Airconditioner	SetTemperatureToValue	establece la temperatura en mi termostato a 22 grados celsius	o o o o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValue	establece la temperatura en mi termostato a 24 grados	o o o o o o o b-value i-value
Airconditioner	SetTemperatureToValue	establece la temperatura en mi termostato a 80 grados fahrenheit	o o o o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValue	establece mi termostato a desactivado	o o o o b-value
Airconditioner	SetTemperatureToValue	establece mi termostato a 29 grados celsius	o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establece la temperatura a 79 grados fahrenheit en mi cocina termostato	o o o o b-value i-value i-value o o b-device_name o
Airconditioner	SetTemperatureToValueOnDevice	establece la temperatura a 25 grados en mi corredor termostato	o o o o b-value i-value o o b-device_name o
Airconditioner	SetTemperatureToValueOnDevice	establece la temperatura en mi termostato dormitorio a 22 grados celsius	o o o o o o b-device_name o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establece la temperatura en mi termostato salón a 24 grados	o o o o o o b-device_name o b-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establece la temperatura en mi termostato cocina a 80 grados fahrenheit	o o o o o o b-device_name o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establece mi termostato corredor a desactivado	o o o b-device_name o b-value
Airconditioner	SetTemperatureToValueOnDevice	establece mi termostato dormitorio a 29 grados celsius	o o o b-device_name o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	establece mi termostato salón a 23 grados celsius	o o o b-device_name o b-value i-value i-value
Airconditioner	SetTemperatureBetweenValues	establece la temperatura entre 23 grados y 29 grados en mi termostato	o o o o o o o o o o o o
Airconditioner	SetTemperatureBetweenValues	establece la temperatura baja 23 grados en mi termostato , y la temperatura alta a 29 grados	o o o o o o o o o o o o o o o o o
Airconditioner	SetTemperatureOnDevice	cambia la temperatura mínima y máxima en mi termostato cocina	o o o o o o o o o b-device_name
Airconditioner	SetTemperatureOnDevice	cambia la temperatura mínima y máxima en mi termostato corredor	o o o o o o o o o b-device_name
