domain	intent	utterance	bio
Phone	CallNumber	call 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	call 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	dial 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 00 589 999 000	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 34 678 09 94	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallNumber	phone 22 590 01 45	o b-phone_number i-phone_number i-phone_number i-phone_number
Phone	CallEmergency	call 911	o o
Phone	CallEmergency	call ambulance	o o
Phone	CallEmergency	call fire department	o o o
Phone	CallEmergency	call police	o o
Phone	ShowSMS	show my sms inbox	o o o o
Phone	ShowSMS	display my sms inbox	o o o o
Phone	SMSToContact	send a message to rhett	o o o o b-to
Phone	SMSToContact	send a message to charo	o o o o b-to
Phone	SMSToContact	send a message to sonnie	o o o o b-to
Phone	SMSToContact	send a message to anagnos	o o o o b-to
Phone	SMSToContact	send a message to aurea	o o o o b-to
Phone	SMSToContact	send a message to jereme	o o o o b-to
Phone	SMSToContact	send a message to electra	o o o o b-to
Phone	SMSToContact	send a sms to felice	o o o o b-to
Phone	SMSToContact	send a sms to jasmin	o o o o b-to
Phone	SMSToContact	send a sms to darryl	o o o o b-to
Phone	SMSToContact	send a sms to jezebel	o o o o b-to
Phone	SMSToContact	send a sms to goldfarb	o o o o b-to
Phone	SMSToContact	send a sms to leanna	o o o o b-to
Phone	SMSToContact	send a sms to malvie	o o o o b-to
Phone	SMSToContact	send a sms to anjanette	o o o o b-to
Phone	SMSToContact	send a text to merow	o o o o b-to
Phone	SMSToContact	send a text to carlene	o o o o b-to
Phone	SMSToContact	send a text to candace	o o o o b-to
Phone	SMSToContact	send a text to doloritas	o o o o b-to
Phone	SMSToContact	send a text to rozamond	o o o o b-to
Phone	SMSToContact	send a text to briney	o o o o b-to
Phone	SMSToContact	send a text to ledda	o o o o b-to
Phone	SMSToContact	send a text to milly	o o o o b-to
Phone	SMSToContact	sms samuele	o b-to
Phone	SMSToContact	sms ulrika	o b-to
Phone	SMSToContact	sms morena	o b-to
Phone	SMSToContact	sms bensen	o b-to
Phone	SMSToContact	sms brianna	o b-to
Phone	SMSToContact	sms changaris	o b-to
Phone	SMSToContact	sms diann	o b-to
Phone	SMSToContact	text cyril	o b-to
Phone	SMSToContact	text wilie	o b-to
Phone	SMSToContact	text glori	o b-to
Phone	SMSToContact	text alexi	o b-to
Phone	SMSToContact	text ras	o b-to
Phone	SMSToContact	text thorstein	o b-to
Phone	SMSToContact	text erminie	o b-to
Phone	SMSToContactWithMessage	send a message to raffaello containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to barry containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to carlene containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to cedell containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to kip containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to sacha containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to rupert containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to prosperus containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to orelie containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to shelden saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to arlynne saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to jillayne saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to fanechka saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to margarette saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to kamin saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to o'rourke saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a message to reginauld saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to henrietta saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a message to desiri saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to daisy containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to elspeth containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to aline containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to tarah containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to fulvia containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to ardine containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to jolynn containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to kirstyn containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to prosper containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to anatolio containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to brecher saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to fianna saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to annabelle saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to lulu saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to marney saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to stimson saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to annamaria saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to joan saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send a text to antonina saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send a text to girovard saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to napier containing we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to trudey containing please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to barnaba containing we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to carmina containing please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to goldia containing call me	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to kaja containing we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to siana containing please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to malynda containing call me	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to kent containing we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to heater saying please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to kissiah saying call me	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to maritsa saying we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to dory saying please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to chiquita saying call me	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to mae saying we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to paapanen saying please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to helen saying call me	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms message to berrie saying we need to talk	o o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms message to karie saying please answer	o o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to tilla containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to shari containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to janet containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to adan containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to corrianne containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to nester containing please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to ringo containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to quentin containing we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to jon containing call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to addison saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to alex saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to leonteen saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to mcculloch saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to berne saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to wivina saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to vevay saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	send an sms to bish saying please answer	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to renferd saying call me	o o o o b-to o b-message i-message
Phone	SMSToContactWithMessage	send an sms to christina saying we need to talk	o o o o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms coleen containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms hortense containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms abigael containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms akin containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms tien containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms caterina containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms gayle containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms kizzie containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms luna containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms karrah containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms anana saying call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms rozalin saying we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms nasho saying please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms reviere saying call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms prissie saying we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms carmelia saying please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms aloisia saying call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms hollenbeck saying we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	sms silva saying please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	sms kasey saying call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text lelia containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	text gahl containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text kirsti containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text ertha containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	text jariah containing please answer	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text deborath containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text malva containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	text westney containing call me	o b-to o b-message i-message
Phone	SMSToContactWithMessage	text lilith containing we need to talk	o b-to o b-message i-message i-message i-message
Phone	SMSToContactWithMessage	text ekaterina saying please answer	o b-to o b-message i-message
