domain	intent	utterance	bio
Facebook	OpenFacebook	publica algo en facebook	o o o o
Facebook	OpenFacebook	publica algo en el facebook	o o o o o
Facebook	OpenFacebook	crea una nueva publicación en el facebook	o o o o o o o
Facebook	OpenFacebook	crea una nueva publicación de facebook	o o o o o o
Facebook	PostStatus	crea una nueva publicación que dice volviendo a la rutina en el facebook	o o o o o o b-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice el talón de skrillex en el facebook	o o o o o o b-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice a esperar el pollo con papas mmm ñamñam en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice y linda igual a mama en el facebook	o o o o o o b-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice en tierra de orcos el tuerto es sauron en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice al final solo tengo que quitarme 3 tatus en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice mañana a arrancar el gym en el facebook	o o o o o o b-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice me baño y salen mates con sebaa en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice con lauupolaamilebianca en el facebook	o o o o o o b-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice vemos los increibles con los bolivianos en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice la humildad como actitud ante la vida en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice siempre hay una oportunidad para todo en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice mañana no voy a clases estoy así en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice que buena noche la pase genial en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status o o o
Facebook	PostStatus	crea una nueva publicación que dice fer se puso la de messi en el facebook	o o o o o o b-status i-status i-status i-status i-status i-status o o o
