domain	intent	utterance	bio
Spotify	OpenSpotify	abre spotify	o o
Spotify	OpenSpotify	abre spotify y reproducir alguna música	o o o o o o
Spotify	OpenSpotify	usa spotify y reproducir alguna música	o o o o o o
Spotify	OpenSpotify	usa spotify para reproducir alguna música	o o o o o o
Spotify	OpenSpotify	reproduce alguna música en spotify	o o o o o
Spotify	PlaySong	en spotify reproduce missing	o o o b-song
Spotify	PlaySong	en spotify reproduce body	o o o b-song
Spotify	PlaySong	en spotify reproduce wake up next to god	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce got you	o o o b-song i-song
Spotify	PlaySong	en spotify reproduce what is she waring	o o o b-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce the city of roses	o o o b-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce fantas	o o o b-song
Spotify	PlaySong	en spotify reproduce end of my bloodline	o o o b-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce follow you	o o o b-song i-song
Spotify	PlaySong	en spotify reproduce choo choo	o o o b-song i-song
Spotify	PlaySong	en spotify reproduce the arrow of our youth	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce birth of violence	o o o b-song i-song i-song
Spotify	PlaySong	en spotify reproduce an ambulance	o o o b-song i-song
Spotify	PlaySong	en spotify reproduce nothing has to be true	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	en spotify reproduce necromania	o o o b-song
Spotify	PlaySong	en spotify reproduce slowboat	o o o b-song
Spotify	PlaySong	en spotify reproduce perfume	o o o b-song
Spotify	PlaySong	en spotify reproduce paco	o o o b-song
Spotify	PlaySong	en spotify reproduce new years eve	o o o b-song i-song i-song
Spotify	PlaySong	reproduce paper boy	o b-song i-song
Spotify	PlaySong	reproduce run to me	o b-song i-song i-song
Spotify	PlaySong	reproduce irato	o b-song
Spotify	PlaySong	reproduce any human friend	o b-song i-song i-song
Spotify	PlaySong	reproduce we are surrounded	o b-song i-song i-song
Spotify	PlaySong	reproduce of the past	o b-song i-song i-song
Spotify	PlaySong	reproduce list of boys	o b-song i-song i-song
Spotify	PlaySong	reproduce what a time to be alive	o b-song i-song i-song i-song i-song i-song
Spotify	PlaySong	reproduce climbing the walls	o b-song i-song i-song
Spotify	PlaySong	reproduce the crossing guard	o b-song i-song i-song
Spotify	PlaySong	reproduce intro	o b-song
Spotify	PlaySong	reproduce jupiter 4	o b-song i-song
Spotify	PlaySong	reproduce all spies	o b-song i-song
Spotify	PlaySong	reproduce blow to the head	o b-song i-song i-song i-song
Spotify	PlaySong	reproduce not this time	o b-song i-song i-song
Spotify	PlaySong	reproduce plastic	o b-song
Spotify	PlaySong	reproduce glue	o b-song
Spotify	PlaySong	reproduce you should see me in a crown	o b-song i-song i-song i-song i-song i-song i-song
Spotify	PlaySong	reproduce esp ion age	o b-song i-song i-song
Spotify	PlaySong	reproduce moments of flow en spotify	o b-song i-song i-song o o
Spotify	PlaySong	reproduce door man en spotify	o b-song i-song o o
Spotify	PlaySong	reproduce gold dust en spotify	o b-song i-song o o
Spotify	PlaySong	reproduce good day en spotify	o b-song i-song o o
Spotify	PlaySong	reproduce move me en spotify	o b-song i-song o o
Spotify	PlaySong	reproduce american idiot en spotify	o b-song i-song o o
Spotify	PlaySong	reproduce aaron en spotify	o b-song o o
Spotify	PlaySong	reproduce the fool you need en spotify	o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce visions en spotify	o b-song o o
Spotify	PlaySong	reproduce moscow en spotify	o b-song o o
Spotify	PlaySong	reproduce trofea en spotify	o b-song o o
Spotify	PlaySong	reproduce 74 en spotify	o b-song o o
Spotify	PlaySong	reproduce twist en spotify	o b-song o o
Spotify	PlaySong	reproduce king of the castle en spotify	o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce think about what you love en spotify	o b-song i-song i-song i-song i-song o o
Spotify	PlaySong	reproduce flow en spotify	o b-song o o
Spotify	PlaySong	reproduce goodbye pork pie hat en spotify	o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce turn me down en spotify	o b-song i-song i-song o o
Spotify	PlaySong	reproduce from en spotify	o b-song o o
Spotify	PlaySong	reproduce touch that space en spotify	o b-song i-song i-song o o
Spotify	PlaySong	reproduce la canción the dark cloud is comming	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	reproduce la canción memory loop	o o o b-song i-song
Spotify	PlaySong	reproduce la canción you are here	o o o b-song i-song i-song
Spotify	PlaySong	reproduce la canción no people to person	o o o b-song i-song i-song i-song
Spotify	PlaySong	reproduce la canción wonder	o o o b-song
Spotify	PlaySong	reproduce la canción monster	o o o b-song
Spotify	PlaySong	reproduce la canción chant	o o o b-song
Spotify	PlaySong	reproduce la canción from a distance	o o o b-song i-song i-song
Spotify	PlaySong	reproduce la canción vortex	o o o b-song
Spotify	PlaySong	reproduce la canción long time ago	o o o b-song i-song i-song
Spotify	PlaySong	reproduce la canción odds against tomorrow	o o o b-song i-song i-song
Spotify	PlaySong	reproduce la canción traffic	o o o b-song
Spotify	PlaySong	reproduce la canción aurora	o o o b-song
Spotify	PlaySong	reproduce la canción a survey	o o o b-song i-song
Spotify	PlaySong	reproduce la canción die	o o o b-song
Spotify	PlaySong	reproduce la canción norman fucking rockwell	o o o b-song i-song i-song
Spotify	PlaySong	reproduce la canción moon in the water	o o o b-song i-song i-song i-song
Spotify	PlaySong	reproduce la canción bud guy	o o o b-song i-song
Spotify	PlaySong	reproduce la canción hit man	o o o b-song i-song
Spotify	PlaySong	reproduce la canción deal with it en spotify	o o o b-song i-song i-song o o
Spotify	PlaySong	reproduce la canción to hell with good intentions en spotify	o o o b-song i-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción waiting for you en spotify	o o o b-song i-song i-song o o
Spotify	PlaySong	reproduce la canción a history of bad men en spotify	o o o b-song i-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción hit me till i break my bones en spotify	o o o b-song i-song i-song i-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción kids en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción stamina en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción as often as i can en spotify	o o o b-song i-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción diamond en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción radian en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción take en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción love fuzz en spotify	o o o b-song i-song o o
Spotify	PlaySong	reproduce la canción the king en spotify	o o o b-song i-song o o
Spotify	PlaySong	reproduce la canción under the talles arch en spotify	o o o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción mercury en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción running en spotify	o o o b-song o o
Spotify	PlaySong	reproduce la canción after the gold rush en spotify	o o o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción one minute to midnight en spotify	o o o b-song i-song i-song i-song o o
Spotify	PlaySong	reproduce la canción the three jewels en spotify	o o o b-song i-song i-song o o
