domain	intent	utterance	bio
Speaker	TurnOnOrOff	ayúdame a activar mi altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a activar el altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a desactivar mi altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a desactivar el altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a encender mi altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a encender el altavoz	o o o o o
Speaker	TurnOnOrOff	ayúdame a apagar mi altavoz	o o o o o
Speaker	TurnOnOrOff	activa el altavoz	o o o
Speaker	TurnOnOrOff	actívame mi altavoz	o o o
Speaker	TurnOnOrOff	actívame el altavoz	o o o
Speaker	TurnOnOrOff	desactiva mi altavoz	o o o
Speaker	TurnOnOrOff	desactiva el altavoz	o o o
Speaker	TurnOnOrOff	desactívame mi altavoz	o o o
Speaker	TurnOnOrOff	desactívame el altavoz	o o o
Speaker	TurnOnOrOff	enciende mi altavoz	o o o
Speaker	TurnOnOrOff	enciende el altavoz	o o o
Speaker	TurnOnOrOff	enciéndeme mi altavoz	o o o
Speaker	TurnOnOrOff	enciéndeme el altavoz	o o o
Speaker	TurnOnOrOff	apaga mi altavoz	o o o
Speaker	TurnOnOrOff	apaga el altavoz	o o o
Speaker	TurnOnOrOff	apágame mi altavoz	o o o
Speaker	IncreaseVolume	sube el volumen de altavoz	o o o o o
Speaker	IncreaseVolume	sube el volumen de mi altavoz	o o o o o o
Speaker	IncreaseVolume	aumenta en sonido de altavoz	o o o o o
Speaker	IncreaseVolume	aumenta en sonido de mi altavoz	o o o o o o
Speaker	IncreaseVolumeByPercent	sube el volumen del altavoz por 5	o o o o o o b-percent
Speaker	IncreaseVolumeByPercent	sube el volumen del altavoz por 10 por ciento	o o o o o o b-percent o o
Speaker	IncreaseVolumeByPercent	sube el volumen de altavoz por 15	o o o o o o b-percent
Speaker	IncreaseVolumeByPercent	sube el volumen de altavoz por 20 por ciento	o o o o o o b-percent o o
Speaker	IncreaseVolumeByPercent	sube el volumen de mi altavoz por 25	o o o o o o o b-percent
Speaker	IncreaseVolumeByPercent	aumenta en sonido de altavoz por 40 por ciento	o o o o o o b-percent o o
Speaker	IncreaseVolumeByPercent	aumenta en sonido de mi altavoz por 45	o o o o o o o b-percent
Speaker	IncreaseVolumeByPercent	aumenta en sonido de mi altavoz por 50 por ciento	o o o o o o o b-percent o o
Speaker	DecreaseVolume	reduce volumen de altavoz	o o o o
Speaker	DecreaseVolume	reduce volumen de mi altavoz	o o o o o
Speaker	DecreaseVolume	reduce el volumen de altavoz	o o o o o
Speaker	DecreaseVolume	disminuye volumen de mi altavoz	o o o o o
Speaker	DecreaseVolume	disminuye el volumen de altavoz	o o o o o
Speaker	DecreaseVolume	disminuye el volumen de mi altavoz	o o o o o o
Speaker	DecreaseVolumeByPercent	reduce volumen de altavoz por 55	o o o o o b-percent
Speaker	DecreaseVolumeByPercent	reduce volumen de altavoz por 60 por ciento	o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	reduce volumen de mi altavoz por 65	o o o o o o b-percent
Speaker	DecreaseVolumeByPercent	reduce el volumen de altavoz por 80 por ciento	o o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	reduce el volumen de mi altavoz por 85	o o o o o o o b-percent
Speaker	DecreaseVolumeByPercent	reduce el volumen de mi altavoz por 90 por ciento	o o o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	disminuye volumen de altavoz por 95	o o o o o b-percent
Speaker	DecreaseVolumeByPercent	disminuye volumen de altavoz por 100 por ciento	o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	disminuye volumen de mi altavoz por 5	o o o o o o b-percent
Speaker	DecreaseVolumeByPercent	disminuye volumen de mi altavoz por 10 por ciento	o o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	disminuye el volumen de altavoz por 15	o o o o o o b-percent
Speaker	DecreaseVolumeByPercent	disminuye el volumen de altavoz por 20 por ciento	o o o o o o b-percent o o
Speaker	DecreaseVolumeByPercent	disminuye el volumen de mi altavoz por 25	o o o o o o o b-percent
Speaker	DecreaseVolumeByPercent	disminuye el volumen de mi altavoz por 30 por ciento	o o o o o o o b-percent o o
Speaker	MuteOn	silencia altavoz	o o
Speaker	MuteOn	silencia mi altavoz	o o o
Speaker	MuteOn	pon en silencio mi altavoz	o o o o o
Speaker	MuteOn	pon en silencio el altavoz	o o o o o
Speaker	MuteOff	activa el sonido de altavoz	o o o o o
Speaker	MuteOff	activa el sonido de mi altavoz	o o o o o o
