domain	intent	utterance	bio
Gdrive	OpenGdrive	show my google drive files	o o o o o
Gdrive	OpenGdrive	show my files in google drive	o o o o o o
Gdrive	OpenGdrive	display my google drive files	o o o o o
Gdrive	OpenGdrive	display my files in google drive	o o o o o o
Gdrive	OpenGdrive	list my google drive files	o o o o o
Gdrive	ShowFilesWithType	show my txt files in google drive	o o b-mime_type o o o o
Gdrive	ShowFilesWithType	display my google drive files of type jpeg	o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	display my mp3 files in google drive	o o b-mime_type o o o o
Gdrive	ShowFilesWithType	list my google drive files of type txt	o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	list my jpeg files in google drive	o o b-mime_type o o o o
Gdrive	ShowFilesWithStar	show my starred google drive files	o o o o o o
Gdrive	ShowFilesWithStar	show the google drive files i starred	o o o o o o o
Gdrive	ShowFilesWithStar	display my starred google drive files	o o o o o o
Gdrive	ShowFilesWithStar	display the google drive files i starred	o o o o o o o
Gdrive	ShowFilesWithStar	list my starred google drive files	o o o o o o
Gdrive	ShowFilesFromTime	show my google drive files created this week	o o o o o o b-time i-time
Gdrive	ShowFilesFromTime	show my google drive files modified this month	o o o o o o b-time i-time
Gdrive	ShowFilesFromTime	display my google drive files created today	o o o o o o b-time
Gdrive	ShowFilesFromTime	display my google drive files modified this week	o o o o o o b-time i-time
Gdrive	ShowFilesFromTime	list my google drive files created this month	o o o o o o b-time i-time
Gdrive	ShowFilesWithSize	show my google drive files smaller than 1 mb	o o o o o o o b-file_size i-file_size
Gdrive	ShowFilesWithSize	show my google drive files larger than 1 gigabyte	o o o o o o o b-file_size i-file_size
Gdrive	ShowFilesWithSize	display my google drive files smaller than 500 kb	o o o o o o o b-file_size i-file_size
Gdrive	ShowFilesWithSize	display my google drive files larger than 1 mb	o o o o o o o b-file_size i-file_size
Gdrive	ShowFilesWithSize	list my google drive files smaller than 1 gigabyte	o o o o o o o b-file_size i-file_size
Gdrive	CreateFile	create google drive file	o o o o
Gdrive	CreateFileWithName	create a new file with name new file on google drive	o o o o o o b-file_name i-file_name o o o
Gdrive	ShowOldestFiles	show my newest google drive files	o o o o o o
Gdrive	ShowOldestFiles	show my oldest google drive files	o o o o o o
Gdrive	ShowOldestFiles	show my google drive files that were created most recently	o o o o o o o o o o
Gdrive	ShowOldestFiles	display my newest google drive files	o o o o o o
Gdrive	ShowOldestFiles	display my oldest google drive files	o o o o o o
Gdrive	ShowOldestFiles	display my google drive files that were created most recently	o o o o o o o o o o
Gdrive	ShowOldestFiles	list my newest google drive files	o o o o o o
Gdrive	ShowOldestFiles	list my oldest google drive files	o o o o o o
Gdrive	SortReverseAlphabetical	show my google drive files in alphabetical order	o o o o o o o o
Gdrive	SortReverseAlphabetical	show my google drive files in reverse alphabetical order	o o o o o o o o o
Gdrive	SortReverseAlphabetical	display my google drive files in alphabetical order	o o o o o o o o
Gdrive	SortReverseAlphabetical	display my google drive files in reverse alphabetical order	o o o o o o o o o
Gdrive	SortReverseAlphabetical	list my google drive files in alphabetical order	o o o o o o o o
Gdrive	OpenFileWithName	open my readme for edition in google drive	o o b-file_name o o o o o
Gdrive	ShareFileWithNameToAddress	share my movies to see with hahaha09@hotmail.com and give a permission for edition	o o b-file_name i-file_name i-file_name o b-mail o o o o o o
Gdrive	ShareFileWithNameToAddress	share my CV with sarah_odonnell@yahoo.com and give a permission for reading	o o b-file_name o b-mail o o o o o o
Gdrive	ShareFileWithNameToAddress	share my project 1 with selena.g@gmail.com and give a permission for read and write	o o b-file_name i-file_name o b-mail o o o o o o o o
