domain	intent	utterance	bio
Calendar	OpenCalendar	abre mi calendario	o o o
Calendar	OpenCalendar	ábreme mi calendario	o o o
Calendar	OpenCalendar	muestra mi calendario	o o o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda dentro de 1 hora ?	o o o o o o b-date i-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda el 15 de mayo ?	o o o o o o b-date i-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda hoy ?	o o o o o o b-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda el próximo miércoles ?	o o o o o o b-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda en 4 horas ?	o o o o o o b-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda dentro de 45 minutos ?	o o o o o o b-date i-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda el 13 de marzo ?	o o o o o o b-date i-date i-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda el viernes ?	o o o o o o b-date i-date o
Calendar	CheckCalendarOnDate	¿ qué hay en mi agenda el próximo martes ?	o o o o o o b-date i-date i-date o
Calendar	AddEventWithName	añade un evento llamado 1on1	o o o o b-event_name
Calendar	AddEventWithName	añade un evento llamado peluquero	o o o o b-event_name
Calendar	AddEventWithName	añade un evento llamado el cumple de mamá	o o o o b-event_name i-event_name i-event_name i-event_name
Calendar	AddEventWithName	añade un evento llamado cita con ana	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	añade un evento llamado cena con juan	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	añade un evento llamado 1on1 a calendario	o o o o b-event_name o o
Calendar	AddEventWithName	añade un evento llamado peluquero a calendario	o o o o b-event_name o o
Calendar	AddEventWithName	añade un evento llamado el cumple de mamá a calendario	o o o o b-event_name i-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	añade un evento llamado cita con ana a calendario	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	añade un evento llamado peluquero el martes	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado el cumple de mamá el lunes	o o o o b-event_name i-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado cita con ana el 1 de marzo	o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado cena con juan el miércoles	o o o o b-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado 1on1 el jueves	o o o o b-event_name o b-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado peluquero el 15 de septiembre	o o o o b-event_name o b-event_date i-event_date i-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado el cumple de mamá el viernes	o o o o b-event_name i-event_name i-event_name i-event_name o b-event_date
Calendar	AddEventOnDateWithDate	añade un evento llamado cita con ana el 30 de octubre	o o o o b-event_name i-event_name i-event_name o b-event_date i-event_date i-event_date
