domain	intent	utterance	bio
Spotify	OpenSpotify	open spotify	o o
Spotify	OpenSpotify	open spotify and play some music	o o o o o o
Spotify	OpenSpotify	open spotify to play some music	o o o o o o
Spotify	OpenSpotify	use spotify	o o
Spotify	OpenSpotify	use spotify and play some music	o o o o o o
Spotify	PlaySong	on spotify play missing	o o o b-song
Spotify	PlaySong	on spotify play body	o o o b-song
Spotify	PlaySong	on spotify play wake up next to god	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	on spotify play got you	o o o b-song i-song
Spotify	PlaySong	on spotify play what is she waring	o o o b-song i-song i-song i-song
Spotify	PlaySong	on spotify play the city of roses	o o o b-song i-song i-song i-song
Spotify	PlaySong	on spotify play fantas	o o o b-song
Spotify	PlaySong	on spotify play end of my bloodline	o o o b-song i-song i-song i-song
Spotify	PlaySong	on spotify play follow you	o o o b-song i-song
Spotify	PlaySong	play birth of violence	o b-song i-song i-song
Spotify	PlaySong	play an ambulance	o b-song i-song
Spotify	PlaySong	play nothing has to be true	o b-song i-song i-song i-song i-song
Spotify	PlaySong	play necromania	o b-song
Spotify	PlaySong	play slowboat	o b-song
Spotify	PlaySong	play perfume	o b-song
Spotify	PlaySong	play paco	o b-song
Spotify	PlaySong	play new years eve	o b-song i-song i-song
Spotify	PlaySong	play bad liar	o b-song i-song
Spotify	PlaySong	play the man with no heart or brain on spotify	o b-song i-song i-song i-song i-song i-song i-song o o
Spotify	PlaySong	play paper boy on spotify	o b-song i-song o o
Spotify	PlaySong	play run to me on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play irato on spotify	o b-song o o
Spotify	PlaySong	play any human friend on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play we are surrounded on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play of the past on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play list of boys on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play what a time to be alive on spotify	o b-song i-song i-song i-song i-song i-song o o
Spotify	PlaySong	play climbing the walls on spotify	o b-song i-song i-song o o
Spotify	PlaySong	play a song the crossing guard	o o o b-song i-song i-song
Spotify	PlaySong	play a song intro	o o o b-song
Spotify	PlaySong	play a song jupiter 4	o o o b-song i-song
Spotify	PlaySong	play a song all spies	o o o b-song i-song
Spotify	PlaySong	play a song blow to the head	o o o b-song i-song i-song i-song
Spotify	PlaySong	play a song not this time	o o o b-song i-song i-song
Spotify	PlaySong	play a song plastic	o o o b-song
Spotify	PlaySong	play a song glue	o o o b-song
Spotify	PlaySong	play a song you should see me in a crown	o o o b-song i-song i-song i-song i-song i-song i-song
Spotify	PlaySong	play a song esp ion age	o o o b-song i-song i-song
Spotify	PlaySong	play a song moments of flow on spotify	o o o b-song i-song i-song o o
Spotify	PlaySong	play a song door man on spotify	o o o b-song i-song o o
Spotify	PlaySong	play a song gold dust on spotify	o o o b-song i-song o o
Spotify	PlaySong	play a song good day on spotify	o o o b-song i-song o o
Spotify	PlaySong	play a song move me on spotify	o o o b-song i-song o o
Spotify	PlaySong	play a song american idiot on spotify	o o o b-song i-song o o
Spotify	PlaySong	play a song aaron on spotify	o o o b-song o o
Spotify	PlaySong	play a song the fool you need on spotify	o o o b-song i-song i-song i-song o o
Spotify	PlaySong	play a song visions on spotify	o o o b-song o o
Spotify	PlaySong	play the song 74	o o o b-song
Spotify	PlaySong	play the song twist	o o o b-song
Spotify	PlaySong	play the song king of the castle	o o o b-song i-song i-song i-song
Spotify	PlaySong	play the song think about what you love	o o o b-song i-song i-song i-song i-song
Spotify	PlaySong	play the song flow	o o o b-song
Spotify	PlaySong	play the song goodbye pork pie hat	o o o b-song i-song i-song i-song
Spotify	PlaySong	play the song turn me down	o o o b-song i-song i-song
Spotify	PlaySong	play the song from	o o o b-song
Spotify	PlaySong	play the song touch that space	o o o b-song i-song i-song
Spotify	PlaySong	play the song the dark cloud is comming on spotify	o o o b-song i-song i-song i-song i-song o o
Spotify	PlaySong	play the song we will on spotify	o o o b-song i-song o o
Spotify	PlaySong	play the song memory loop on spotify	o o o b-song i-song o o
Spotify	PlaySong	play the song you are here on spotify	o o o b-song i-song i-song o o
Spotify	PlaySong	play the song no people to person on spotify	o o o b-song i-song i-song i-song o o
Spotify	PlaySong	play the song wonder on spotify	o o o b-song o o
Spotify	PlaySong	play the song monster on spotify	o o o b-song o o
Spotify	PlaySong	play the song chant on spotify	o o o b-song o o
Spotify	PlaySong	play the song from a distance on spotify	o o o b-song i-song i-song o o
Spotify	PlaySong	play the song vortex on spotify	o o o b-song o o
