domain	intent	utterance	bio
Airconditioner	TurnOff	switch off the heating	o o o b-av_alias
Airconditioner	TurnOff	switch off the ac	o o o b-av_alias
Airconditioner	TurnOff	switch the aircon off	o o b-av_alias o
Airconditioner	TurnOff	turn off the cooling system	o o o b-av_alias i-av_alias
Airconditioner	TurnOff	turn off the hvac	o o o b-av_alias
Airconditioner	TurnOff	turn the heating off	o o b-av_alias o
Airconditioner	TurnOn	switch on the air conditioning	o o o b-av_alias i-av_alias
Airconditioner	TurnOn	switch the cooling system on	o o b-av_alias i-av_alias o
Airconditioner	TurnOn	switch the hvac on	o o b-av_alias o
Airconditioner	TurnOn	turn on the heating	o o o b-av_alias
Airconditioner	TurnOn	turn on the ac	o o o b-av_alias
Airconditioner	TurnOn	turn the air conditioning on	o o b-av_alias i-av_alias o
Airconditioner	ChangeTemperature	change the temperature on my thermostat	o o o o o o
Airconditioner	SetTemperatureToValue	set temperature on my thermostat to 78 degrees fahrenheit	o o o o o o b-value i-value i-value
Airconditioner	SetTemperatureToValue	set the temperature to 79 degrees fahrenheit on my thermostat	o o o o b-value i-value i-value o o o
Airconditioner	SetTemperatureToValueOnDevice	set my living room thermostat to 22 degrees celsius	o o b-device_name i-device_name o o b-value i-value i-value
Airconditioner	SetTemperatureToValueOnDevice	set temperature on my kitchen thermostat to 24 degree	o o o o b-device_name o o b-value i-value
Airconditioner	SetTemperatureBetweenValues	set the temperature between 23 degree and 29 degree on my thermostat	o o o o o o o o o o o o
Airconditioner	SetTemperatureOnDevice	change the temperature on my bedroom thermostat	o o o o o b-device_name o
Airconditioner	GetHumidity	show the humidity	o o o
Airconditioner	GetHumidity	get the humidity	o o o
Airconditioner	GetHumidity	get the humidity level	o o o o
Airconditioner	GetHumidity	check the humidity	o o o
Airconditioner	GetTemperature	what temperature do I have in here according to my hvac ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature do we have in here according to my heating ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature do we have in here according to my ac ?	o o o o o o o o o o b-av_alias o
Airconditioner	GetTemperature	what temperature is it in here according to my aircon ?	o o o o o o o o o b-av_alias o
Airconditioner	GetTemperatureFromDevice	check the temperature of the hall room temperature sensor	o o o o o b-device_name o o o
Airconditioner	GetTemperatureFromDevice	check what the bedroom home temperature sensor says	o o o b-device_name o o o o
Airconditioner	GetTemperatureFromDevice	check what the living room home temperature sensor says	o o o b-device_name i-device_name o o o o
Airconditioner	GetTemperatureFromDevice	what does the kitchen indoor temperature sensor say ?	o o o b-device_name o o o o o
Airconditioner	GetTemperatureFromDevice	what does the hall indoor temperature sensor say ?	o o o b-device_name o o o o o
Airconditioner	GetTemperatureFromDevice	what does the bedroom indoor temperature sensor show ?	o o o b-device_name o o o o o
