domain	intent	utterance	bio
Yelp	SearchRestaurant	restaurant	o
Yelp	SearchRestaurant	restaurant on yelp	o o o
Yelp	SearchRestaurant	restaurant nearby	o o
Yelp	SearchRestaurant	restaurant around here	o o o
Yelp	SearchRestaurant	restaurants	o
Yelp	SearchRestaurant	restaurants on yelp	o o o
Yelp	SearchRestaurant	restaurants nearby	o o
Yelp	SearchRestaurant	restaurants around here	o o o
Yelp	SearchRestaurant	search restaurant	o o
Yelp	SearchRestaurant	search restaurant on yelp	o o o o
Yelp	SearchRestaurant	search restaurant nearby	o o o
Yelp	SearchRestaurant	search restaurant around here	o o o o
Yelp	SearchRestaurant	search restaurants	o o
Yelp	SearchRestaurant	search restaurants nearby	o o o
Yelp	SearchRestaurant	search restaurants around here	o o o o
Yelp	SearchRestaurant	find restaurant	o o
Yelp	SearchRestaurant	find restaurant on yelp	o o o o
Yelp	SearchRestaurant	find restaurant around here	o o o o
Yelp	SearchRestaurant	find restaurants	o o
Yelp	SearchRestaurant	find restaurants on yelp	o o o o
Yelp	SearchRestaurant	find restaurants nearby	o o o
Yelp	SearchRestaurant	find restaurants around here	o o o o
Yelp	SearchRestaurant	closest restaurant nearby	o o o
Yelp	SearchRestaurant	closest restaurant around	o o o
Yelp	SearchRestaurant	nearest restaurant around	o o o
Yelp	SearchByQuery	downtown redmond parking garage around	b-query i-query i-query i-query o
Yelp	SearchByQuery	best craft brews and local eateries on yelp	b-query i-query i-query i-query i-query i-query o o
Yelp	SearchByQuery	perkins restruant nearby	b-query i-query o
Yelp	SearchByRating	restaurants nearby with at least 4 star rating	o o o o o b-rating o o
Yelp	SearchByRating	5 star restaurants	b-rating o o
Yelp	SearchByRating	4 star restaurants on yelp	b-rating o o o o
Yelp	SearchByRating	restaurants rated higher than 5 star	o o o o b-rating o
Yelp	SearchByCategory	thai food	b-category o
Yelp	SearchByCategory	japanease food around here	b-category o o o
Yelp	SearchByCategory	american food nearby	b-category o o
Yelp	SearchByCategory	italian restaurants	b-category o
Yelp	SearchByCategory	thai restaurants nearby	b-category o o
Yelp	OpenRestaurants	open restaurants nearby	o o o
Yelp	OpenRestaurants	restaurants still open around here	o o o o o
Yelp	SearchByReviewCount	restaurants here reviewed by at least 1000 users	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants here reviewed by more than 10000 people	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants here reviewed by more than 100 users	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants nearby reviewed by at least 1000 people	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants nearby reviewed by at least 10000 users	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants nearby reviewed by more than 100 people	o o o o o o b-review_count o
Yelp	SearchByReviewCount	restaurants nearby reviewed by more than 1000 users	o o o o o o b-review_count o
Yelp	OpenRestaurantsInLocation	open restaurants near soho	o o o b-location
Yelp	OpenRestaurantsInLocation	open restaurants near manhattan	o o o b-location
Yelp	OpenRestaurantsInLocation	open restaurants near plaza del sol	o o o b-location i-location i-location
Yelp	OpenRestaurantsInLocation	open restaurants near la rambla	o o o b-location i-location
Yelp	OpenRestaurantsInLocation	open restaurants near van horne	o o o b-location i-location
Yelp	OpenRestaurantsInLocation	restaurants open now at westmont	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants open now at grass lake	o o o o b-location i-location
Yelp	OpenRestaurantsInLocation	restaurants open now at auburn hills	o o o o b-location i-location
Yelp	OpenRestaurantsInLocation	restaurants open now at terreton	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants open now at cecil	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants open now at fittstown	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants still open around allakaket	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants still open around monticello	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants still open around cornell	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants still open around mayport	o o o o b-location
Yelp	OpenRestaurantsInLocation	restaurants still open around lordsburg	o o o o b-location
Yelp	SearchByCategoryInLocation	american food around cid	b-category o o b-location
Yelp	SearchByCategoryInLocation	italian food around moccasin	b-category o o b-location
Yelp	SearchByCategoryInLocation	french food around momence	b-category o o b-location
Yelp	SearchByCategoryInLocation	thai food around ralls	b-category o o b-location
Yelp	SearchByCategoryInLocation	japanease food around kaneohe	b-category o o b-location
Yelp	SearchByCategoryInLocation	american food near east thetford	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	italian food near diggins	b-category o o b-location
Yelp	SearchByCategoryInLocation	french food near wildwood	b-category o o b-location
Yelp	SearchByCategoryInLocation	thai food near pompey	b-category o o b-location
Yelp	SearchByCategoryInLocation	japanease food near elizabethport	b-category o o b-location
Yelp	SearchByCategoryInLocation	american food near laguna niguel	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	italian restaurants around north ridgeville	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	french restaurants around jarales	b-category o o b-location
Yelp	SearchByCategoryInLocation	thai restaurants around ellicott city	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	japanease restaurants around lapaz	b-category o o b-location
Yelp	SearchByCategoryInLocation	american restaurants around hallandale	b-category o o b-location
Yelp	SearchByCategoryInLocation	italian restaurants around pine mountain	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	french restaurants near vulcan	b-category o o b-location
Yelp	SearchByCategoryInLocation	thai restaurants near bunceton	b-category o o b-location
Yelp	SearchByCategoryInLocation	japanease restaurants near collettsville	b-category o o b-location
Yelp	SearchByCategoryInLocation	american restaurants near saint bernard	b-category o o b-location i-location
Yelp	SearchByCategoryInLocation	italian restaurants near pocomoke city	b-category o o b-location i-location
Yelp	SearchByQueryInLocation	canton ri brewery restaurant around donahue	b-query i-query i-query i-query o b-location
Yelp	SearchByQueryInLocation	best restaurants with a view toronto around grenola	b-query i-query i-query i-query i-query i-query o b-location
Yelp	SearchByQueryInLocation	vancouver steakhouse meat entrees around tooele	b-query i-query i-query i-query o b-location
Yelp	SearchByQueryInLocation	best coffee shops portland or around broadford	b-query i-query i-query i-query i-query o b-location
Yelp	SearchByQueryInLocation	german food around gilbertsville	b-query i-query o b-location
Yelp	SearchByQueryInLocation	pizza around klemme on yelp	b-query o b-location o o
Yelp	SearchByQueryInLocation	european food around ocklawaha on yelp	b-query i-query o b-location o o
Yelp	SearchByQueryInLocation	restaurant that serves mac and cheese around bivalve on yelp	b-query i-query i-query i-query i-query i-query o b-location o o
Yelp	SearchByQueryInLocation	sushi bar around red bud on yelp	b-query i-query o b-location i-location o o
Yelp	SearchByQueryInLocation	craft breweries and pubs around bridge city on yelp	b-query i-query i-query i-query o b-location i-location o o
Yelp	SearchByQueryInLocation	burgers around pigeon on yelp	b-query o b-location o o
Yelp	SearchByQueryInLocation	best thai food at savery	b-query i-query i-query o b-location
Yelp	SearchByQueryInLocation	best italian restaurants with nice view at east aurora	b-query i-query i-query i-query i-query i-query o b-location i-location
Yelp	SearchByQueryInLocation	pub at hoskinston	b-query o b-location
