domain	intent	utterance	bio
News	ShowNews	wp.pl	b-portal
News	ShowNews	czytaj tvp info	o b-portal i-portal
News	ShowNews	pokaż onet.pl	o b-portal
News	ShowNews	wyświetl wiadomości z times polska	o o o b-portal i-portal
News	ShowNews	wyświetl najnowsze wiadomości z asz dziennik	o o o o b-portal i-portal
News	ShowNews	wyświetl mi wiadomości z wp.pl	o o o o b-portal
News	ShowNews	wyświetl mi najnowsze wiadomości z tvn24	o o o o o b-portal
News	ShowNews	pokaż wiadomości z tvp info	o o o b-portal i-portal
News	ShowNews	pokaż najnowsze wiadomości z onet.pl	o o o o b-portal
News	ShowNews	pokaż mi wiadomości z times polska	o o o o b-portal i-portal
News	ShowNewsFromSection	wyświetl polityka na tvn24	o b-section o b-portal
News	ShowNewsFromSection	wyświetl najnowsze technologia z tvp info	o o b-section o b-portal i-portal
News	ShowNewsFromSection	wyświetl najnowsze zdrowie na onet.pl	o o b-section o b-portal
News	ShowNewsFromSection	wyświetl mi gwiazdy z times polska	o o b-section o b-portal i-portal
News	ShowNewsFromSection	wyświetl mi sport na asz dziennik	o o b-section o b-portal i-portal
News	ShowNewsFromSection	wyświetl mi najnowsze polityka z wp.pl	o o o b-section o b-portal
News	ShowNewsFromSection	wyświetl mi najnowsze technologia na tvn24	o o o b-section o b-portal
News	ShowNewsFromSection	pokaż zdrowie z tvp info	o b-section o b-portal i-portal
News	ShowNewsFromSection	pokaż gwiazdy na onet.pl	o b-section o b-portal
News	ShowNewsFromSection	pokaż najnowsze sport z times polska	o o b-section o b-portal i-portal
News	ShowNewsFromSection	pokaż najnowsze polityka na asz dziennik	o o b-section o b-portal i-portal
News	ShowNewsFromSection	pokaż mi technologia z wp.pl	o o b-section o b-portal
News	ShowNewsFromSection	pokaż mi zdrowie na tvn24	o o b-section o b-portal
News	ShowNewsFromSection	pokaż mi najnowsze gwiazdy z tvp info	o o o b-section o b-portal i-portal
News	NotifyWhenPortalUpdates	powiadom mnie kiedy asz dziennik doda nowe newsy	o o o b-portal i-portal o o o
News	NotifyWhenPortalUpdates	powiadom mnie kiedy wp.pl się zaktualizuje	o o o b-portal o o
News	NotifyWhenPortalUpdates	powiedz mi kiedy tvn24 doda nowe wiadomości	o o o b-portal o o o
News	NotifyWhenPortalUpdates	powiedz mi kiedy tvp info doda nowe newsy	o o o b-portal i-portal o o o
News	NotifyWhenPortalUpdates	powiedz mi kiedy onet.pl się zaktualizuje	o o o b-portal o o
News	NotifyWhenPortalUpdatesInSection	powiadom mnie kiedy times polska w sekcji polityka opublikuje artykuł	o o o b-portal i-portal o o b-section o o
News	NotifyWhenPortalUpdatesInSection	powiadom mnie kiedy asz dziennik w sekcji technologia opublikuje nowy artykuł	o o o b-portal i-portal o o b-section o o o
News	NotifyWhenPortalUpdatesInSection	powiadom mnie kiedy wp.pl w części zdrowie opublikuje artykuł	o o o b-portal o o b-section o o
News	NotifyWhenPortalUpdatesInSection	powiadom mnie kiedy tvn24 w części gwiazdy opublikuje nowy artykuł	o o o b-portal o o b-section o o o
News	NotifyWhenPortalUpdatesInSection	powiedz mi kiedy tvp info w sekcji sport opublikuje artykuł	o o o b-portal i-portal o o b-section o o
News	NotifyWhenPortalUpdatesInSection	powiedz mi kiedy onet.pl w sekcji polityka opublikuje nowy artykuł	o o o b-portal o o b-section o o o
News	NotifyWhenPortalUpdatesInSection	powiedz mi kiedy times polska w części technologia opublikuje artykuł	o o o b-portal i-portal o o b-section o o
