domain	intent	utterance	bio
Instagram	OpenInstagram	abre instagram	o o
Instagram	OpenInstagram	abre mi instagram	o o o
Instagram	OpenInstagram	abre el instagram	o o o
Instagram	ShowPictures	muestra mis imágenes de instagram	o o o o o
Instagram	ShowPictures	muestra mis imágenes de instagram más recientes	o o o o o o o
Instagram	ShowPictures	muéstrame mis imágenes de instagram	o o o o o
Instagram	ShowPictures	dame mis imágenes de instagram más recientes	o o o o o o o
Instagram	ShowPictures	enséñame mis imágenes de instagram	o o o o o
Instagram	ShowPictures	enséñame mis imágenes de instagram más recientes	o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 3 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 11 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 12 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 14 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 6 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 10 imágenes de instagram más nuevos	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 7 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 13 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 2 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 9 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 15 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 8 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 4 imágenes de instagram más nuevos en mi cuenta	o o b-count o o o o o o o o
Instagram	ShowLastNumberPictures	dame mis 3 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 11 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 12 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 14 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 6 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 10 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 5 imágenes de instagram más recientes	o o b-count o o o o o
Instagram	ShowLastNumberPictures	dame mis 7 imágenes de instagram más recientes en mi cuenta	o o b-count o o o o o o o o
